"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"1",0,0,"Avatar 5","Plot unknown.",1.586992,2,"2025-12-17","In Production",NA,"Ingenious Film Partners, Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, ","United States of America, "
"2",0,0,"Untitled Fox / Marvel Film","No plot details have been announced.",0.032591,0,"2021-03-05","Planned",NA,", , ","United States of America, "
"3",0,0,"Luna Park","A group of renegade space workers venture to the moon to steal an energy source.",0.059746,0,"2020-12-31","Planned",NA,"Skydance Media, Dutch Oven, New Regency Pictures, ","United States of America, "
"4",0,0,"The Avenging Silence","A spy thriller taking place in Tokyo.",0.149713,0,"2019-12-31","Planned",NA,", , ","Denmark, "
"5",0,0,"The Anarchists vs ISIS","A group of American activists join forces with a Kurdish militia group to help defeat ISIS in Syria.",0.413298,0,"2019-12-31","Planned",NA,"Bold Films, Nine Stories Productions, ","United States of America, "
"6",0,0,"Black Hole","The story sees a black hole enter our solar system, setting off natural disasters on an unprecedented scale. Cities are assaulted by gigantic meteorites, continents are devastated by super-volcanos, and Earth’s shifting axis triggers a cataclysmic second Ice Age. All the while, a team of scientists, soldiers and astronauts must work together to save the planet from imminent annihilation.",0.447166,0,"2019-12-31","Planned",NA,", , ",", , "
"7",60000000,0,"Monster Hunter","Plot unknown. Feature film based on the video game series by Capcom, in which the player takes the role of a hunter in a fantasy environment and completes quests by hunting out specific kinds of monsters to kill or capture.",0.419023,0,"2019-12-31","Planned",NA,", , ",", , "
"8",0,0,"Escape Plan 3: Devil's Station","Plot unknown.",0.708924,0,"2019-12-31","In Production",NA,", , ",", , "
"9",0,0,"Micro","A group of graduate students are lured to Hawaii to work for a mysterious biotech company — only to find themselves miniaturized and cast out into the rainforest, with nothing but their scientific expertise and wits to protect them.",0.108056,0,"2019-12-31","Planned",NA,"Amblin Entertainment, ",", , "
"10",5600000,0,"<U+58F2><U+6625><U+5A66><U+306F><U+30A2><U+30EB><U+30D5><U+30A1><U+30D9><U+30C3><U+30C8><U+3092><U+66F8><U+304F>","Visionary director Satoru Kurogawa returns to the world of animation with his feature-length debut",0.206349,0,"2019-07-12","Released",128,"LOUDSHOUT, ",", , "
