"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"1",0,0,"Avatar 5","Plot unknown.",1.586992,2,"2025-12-17","In Production",NA,"Ingenious Film Partners, Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, ","United States of America, "
"2",0,0,"Luna Park","A group of renegade space workers venture to the moon to steal an energy source.",0.059746,0,"2020-12-31","Planned",NA,"Skydance Media, Dutch Oven, New Regency Pictures, ","United States of America, "
"3",0,0,"Micro","A group of graduate students are lured to Hawaii to work for a mysterious biotech company — only to find themselves miniaturized and cast out into the rainforest, with nothing but their scientific expertise and wits to protect them.",0.108056,0,"2019-12-31","Planned",NA,"Amblin Entertainment, ",", , "
"4",60000000,0,"Monster Hunter","Plot unknown. Feature film based on the video game series by Capcom, in which the player takes the role of a hunter in a fantasy environment and completes quests by hunting out specific kinds of monsters to kill or capture.",0.419023,0,"2019-12-31","Planned",NA,", , ",", , "
"5",5600000,0,"<U+58F2><U+6625><U+5A66><U+306F><U+30A2><U+30EB><U+30D5><U+30A1><U+30D9><U+30C3><U+30C8><U+3092><U+66F8><U+304F>","Visionary director Satoru Kurogawa returns to the world of animation with his feature-length debut",0.206349,0,"2019-07-12","Released",128,"LOUDSHOUT, ",", , "
"6",0,0,"Klonoa","Klonoa, a kind and good-hearted ""Dream Traveler"" protects the dreams of various worlds along with his friends Hewpoe, Lolo, Popka, and more.",0.190056,0,"2019-01-01","Planned",NA,"Henshin, ","United States of America, "
"7",0,0,"Untitled Lani Pixels Project","Evil forces have invaded an isolated island and have targeted Patrick and Susan's grandfather, Mr. Campbell. Guided by Jack, a charming Irish rogue, the siblings end up on a dangerous journey filled with magic and mystery.",0.551912,0,"2019-01-01","In Production",NA,"Lani Pixels, ","Denmark, "
"8",0,0,"Walking to Paris","The 27 year old Romanian sculptor Constantin Brancusi walked from Romania to Paris in 1903 and 1904 as a preparation and prelude to becoming the most important sculptor of the 20th century. Brancusi leaves his small village of Hobitza, south of the Carpathian Mountains and walks through Romania, Hungary, Austria, Germany, Switzerland, and parts of France to arrive in Paris, the metropolis of world culture for the first three decades of the 1900s. He walks in spring, summer, winter and autumn, treading the landscape away from the beaten track, experiencing sights, having adventures, suffering hardships, looking, touching and feeling the world as a preparation of what is to come for him.",2.528849,0,"2018-12-31","Post Production",NA,"Cinatura, Abis Studi, Catherine Dussart Productions (CDP), ","United Kingdom, "
"9",0,0,"Captain Morten and the Spider Queen","A young boy learns to take control over his life when he is shrunk to the size of an insect and has to sail his own toy boat through a flooded café. Morten has to be shrunk down before he can grow up.",0.680305,0,"2018-08-30","Post Production",75,"Calon, Grid Animation, Nukufilm, ","Estonia, Ireland, United Kingdom, "
"10",0,0,"The Story of Jonah — A Lesson in Courage and Mercy","",0.532719,0,"2018-07-10","Post Production",NA,", , ",", , "
"11",0,0,"Cranium Intel II: Magnetic Contamination","The sequel to the sci-trilogy based on the Military Execution Saga novel series.",0.52986,0,"2018-07-04","Released",180,", , ",", , "
