"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",5600000,0,"<U+58F2><U+6625><U+5A66><U+306F><U+30A2><U+30EB><U+30D5><U+30A1><U+30D9><U+30C3><U+30C8><U+3092><U+66F8><U+304F>","Visionary director Satoru Kurogawa returns to the world of animation with his feature-length debut",0.051856,0,"2019-07-12","Released"
"2",0,0,"Untitled Lani Pixels Project","Evil forces have invaded an isolated island and have targeted Patrick and Susan's grandfather, Mr. Campbell. Guided by Jack, a charming Irish rogue, the siblings end up on a dangerous journey filled with magic and mystery.",0.394223,0,"2019-01-01","In Production"
"3",0,0,"Shadows","Plot kept under wraps.",0.409198,0,"2019-01-01","Rumored"
"4",0,0,"Klonoa","Klonoa, a kind and good-hearted ""Dream Traveler"" protects the dreams of various worlds along with his friends Hewpoe, Lolo, Popka, and more.",0.268114,0,"2019-01-01","Planned"
"5",3300000,0,"Absolute Access","2067: The super corporation increases revenues by robotizing processes by creating self-developing robots. Suddenly it turns out that it's not the corporation that manages the world, but robots of the 7th level.",0.120377,0,"2018-12-08","Post Production"
"6",0,0,"Captain Morten and the Spider Queen","A young boy learns to take control over his life when he is shrunk to the size of an insect and has to sail his own toy boat through a flooded café. Morten has to be shrunk down before he can grow up.",0.531294,0,"2018-08-30","Post Production"
"7",0,0,"Leunig: A Tale in 16 Parts","With an anarchic and life-affirming heart, this documentary feature celebrates self-expression, friendship, life and death, and the power of the imagination to ignite, enrage, heal and inspire. With exclusive, intimate access to Michael Leunig - one of Australia’s most renowned artists - we reveal the man behind the household name.",0.312397,0,"2018-08-02","Post Production"
"8",0,0,"Cranium Intel II: Magnetic Contamination","The sequel to the sci-trilogy based on the Military Execution Saga novel series.",0.518384,0,"2018-07-04","Released"
"9",0,0,"Chuck Steel: Night of the Trampires","It's not 1985 anymore...it's 1986, and Chuck Steel is 'the best God damn cop on the force' according to his long suffering boss, Captain Jack Schitt. But even this maverick, renegade, loose cannon, lone wolf, cop on the edge, who doesn't play by the rules has his work cut out when the Governor of LA decides to reduce the licensing hours for clubs and bars triggering a sudden, inexplicable spate of high profile disappearances in the city. The disappearances all have the same thing in common, a crime scene covered in blood but with no sign of the victim. The police are perplexed until they get a break in the case when one of the victims manages to escape. Chuck goes to interview the victim at the hospital but is confronted by a crazed old man who introduces himself as Abraham Van Rental. He warns a disbelieving Chuck that an evil scourge is about to descend on the city of Los Angeles - the scourge of the TRAMPIRES - a mutated hybrid of vampire and tramp.",0.000286,0,"2018-06-16","Post Production"
"10",0,0,"Funan","A semi-autobiographical tale penned by Do and Magali Pouzol, “Funan” centers on the struggle of her mother who is separated from her 4-year-old son during the reign of the Khmer Rouge in Cambodia — a regime that orchestrated a genocide resulting in the deaths of an estimated 2 million people — and searches for him for years.",0.151087,0,"2018-06-11","Post Production"
"11",0,0,"A Man is Dead","Brest, 1950. The war ended five years ago and nothing remains of the city. Massive bombings and intense fighting lasting more than a month turned the city, its docks, its arsenal, into ashes. Thousands of workers will build it up again, brick by brick. But with awful work conditions protests quickly arise and a strike begins. Violent confrontations happen during manifestations. Until one man falls.  The next day René Vautier lands at Brest clandestinely to make a movie about the movement.",0.012464,0,"2018-06-11","Released"
"12",0,0,"North of Blue","A dense multiverse of images and shifting focal points that explore the tension between two dimensional patterns both familiar and alien. Conventional icons are deconstructed, creating shapes that spark a sense of connection and shared history, while scenes transmogrify from rhythmic explosions to sublime trance-inducing patterns.",1.8844,0,"2018-06-11","Post Production"
"13",0,0,"This Magnificent Cake","Animation movie",1.572855,0,"2018-05-09","Released"
"14",0,0,"The Final Adventure of Kaktus Kid","Aleksandar Zograf, a renowned cartoonist discovers an unusual comic book from World War II. The comic’s hero is Kaktus Kid – a small cactus trapped in his pot. Intrigued, Zograf investigates into the life of Kaktus Kid’s creator – little known artist Veljko Kockar. He soon discovers that Kockar was arrested just after the liberation of Belgrade in 1944. He was charged for being a Gestapo agent and executed. Zograf’s investigation reveals a far more complex story: Kockar’s identity and artistic works were stolen, he possibly has an affair with the girlfriend of a guerilla soldier and he drew anti-communist propaganda for the Nazis. As he explores the story and pieces together the scraps of evidence 70 years after it happened Zograf is faced with his own personal and artistic dilemmas: why do these little drawings have such power to give consolation but also lead to violence?",1.962088,0,"2018-05-07","Released"
"15",0,0,"Bao","An empty-nesting Chinese mom gets another chance at motherhood when one of her dumplings springs to life, but she must come to terms with the bittersweet revelation that nothing stays cute and small forever.",2.614609,0,"2018-06-15","Released"
"16",0,0,"Violence Voyager","Following an end-of-term school ceremony, the American boy Bobby decides to go with his friend Akkun into the mountains outside their village, to a place perfect for a secret base. On the way they stop into a mysterious amusement park. They have fun there, but are attacked and cannot leave. Falling in with some other children who are also lost there, they fend off a number of attacks, and gradually learn the truth behind the facility.",0.615343,0,"2018-04-18","Released"
"17",0,0,"Boro the Caterpillar","Just before dawn, Boro the Caterpillar hatched from an egg among patches of scrub grass. Looking around for the first time, he noticed the brilliance of the morning sun and a deliciousness in the air. Boro lowered himself down to the ground from the groundsel, and stepped out into the world of caterpillars and caterpillars' enemies.",2.715537,0,"2018-03-21","Released"
