"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",0,0,"Jay and Silent Bob Reboot","The Jersey boys have to go back to Hollywood to stop a brand new reboot of the old ""Bluntman &amp; Chronic Movie"" they hated so much. It's a tongue-in-cheek, silly-ass satire that pokes fun at the movie business's recent re-do obsession, featuring an all-star cast of cameos and familiar faces!",0.17093,0,"2019-12-31","Planned"
"2",4700000,0,"About Endlessness","Inspired by “One Thousand and One Nights”, the celebrated collection of Middle Eastern and Indian folk tales, “About Endlessness” explores the preciousness and beauty of our existence, awakening in us the wish to maintain this eternal treasure and pass it on, in a juxtaposition of tableaux capturing moments in life.",0.079076,0,"2019-05-15","In Production"
"3",0,0,"Untitled Lani Pixels Project","Evil forces have invaded an isolated island and have targeted Patrick and Susan's grandfather, Mr. Campbell. Guided by Jack, a charming Irish rogue, the siblings end up on a dangerous journey filled with magic and mystery.",0.394223,0,"2019-01-01","In Production"
"4",0,0,"Killroy Was Here","A horror anthology movie centered around the phenomenon of the ""Kilroy Was Here"" graffiti.",0.108617,0,"2018-12-31","In Production"
"5",12000000,0,"The Other Side of the Wind","Orson Welles' unfinished masterpiece, restored and assembled based on Welles' own notes. During the last 15 years of his life, Welles, who died in 1985, worked obsessively on the film, which chronicles a temperamental film director—much like him—who is battling with the Hollywood establishment to finish an iconoclastic work.",3.77762,1,"2018-12-31","Post Production"
"6",0,0,"The Shitheads","A pair of deeply unqualified bozos are hired to transport a troubled teenage millionaire to rehab.",0.103103,0,"2018-12-31","Planned"
"7",0,0,"Friend of the World","After a catastrophic war, an eccentric general guides a filmmaker through a ravaged bunker.",2.456189,0,"2018-12-31","Post Production"
"8",0,0,"Little Monsters","A washed-up musician teams up with a teacher and a kids show personality to protect young children from a sudden outbreak of zombies.",2.406866,0,"2018-12-31","Post Production"
"9",0,0,"Happier times, Grump","The Grump decides that it's time to die, because everything is done and there's no meaning in life anymore. Just as his casket is finished, destiny brings new person in his life. His grandchild, Sofia, is in trouble and needs his grandfathers stubbornes, wisdom and the warmth of his fireplace. From the old grumps and young city girls two halves of life grows more than one whole.",0.519174,0,"2018-08-24","Released"
"10",0,0,"Kung Fury II: The Movie","",0.858764,0,"2018-07-01","Planned"
"11",0,0,"Chuck Steel: Night of the Trampires","It's not 1985 anymore...it's 1986, and Chuck Steel is 'the best God damn cop on the force' according to his long suffering boss, Captain Jack Schitt. But even this maverick, renegade, loose cannon, lone wolf, cop on the edge, who doesn't play by the rules has his work cut out when the Governor of LA decides to reduce the licensing hours for clubs and bars triggering a sudden, inexplicable spate of high profile disappearances in the city. The disappearances all have the same thing in common, a crime scene covered in blood but with no sign of the victim. The police are perplexed until they get a break in the case when one of the victims manages to escape. Chuck goes to interview the victim at the hospital but is confronted by a crazed old man who introduces himself as Abraham Van Rental. He warns a disbelieving Chuck that an evil scourge is about to descend on the city of Los Angeles - the scourge of the TRAMPIRES - a mutated hybrid of vampire and tramp.",0.000286,0,"2018-06-16","Post Production"
"12",300,0,"Conference Call","Jack and Judy are two students at the University Of Toronto. Jack is a filmmaker in his masters, with great potential but poor execution skills, while Judy is an overachieving but highly insecure literature student, in her last year of a PhD. They are brought together by a conference, which Judy is presenting at, and Jack is filming. We follow the ups and downs of their ensuing relationship, as they both learn more about each other and themselves through the process.",1.826242,0,"2018-06-08","In Production"
"13",0,0,"Ocean's 8","Debbie Ocean, a criminal mastermind, gathers a crew of seven other female thieves to pull off the heist of the century at New York's annual Met Gala.",15.393933,0,"2018-06-07","Post Production"
"14",0,0,"Russian Psycho","The film’s action happens in today’s Russia, in Moscow. A young man, Sviatoslav Ivanov, is in love with the young girl Asya and decides to marry her. By training he is a graphic designer, but Asya’s father is the managing director of a large Russian bank. Sviatoslav decides to start his own business and open a restaurant to create for Asya the living conditions she is accustomed to. A number of serious obstacles suddenly appear in the way of the young man and menace his life... He finds out that he has a secret ill-wisher who wants to ruin him and his business. The young man goes to the extreme, gradually untangling the secret plot... At the end of the story Sviatoslav manages to answer the question about his enemy...",0.00068,0,"2018-06-06","Released"
"15",0,0,"Uncle Sasha","An almost Chekhovian story about a once successful director making his last film, in spite of everything and everybody, in his country house. Strange guests, vain actors, somewhat eccentric neighbours and the director are reason enough for the author’s irony, and sometimes sarcasm. And you remember? Chekhov’s guns always fire!",0.227791,0,"2018-06-06","Released"
"16",0,0,"Pacific Angels","Ethan, a film student in the Pacific Northwest, finds himself reflecting on his family estrangement when he takes an active interest in conspiracy theories.",2.00543,0,"2018-06-06","Released"
"17",0,0,"The Gift","Tolya Sidorov is a simple worker of early retirement age from some remote place in Russia. Unexpectedly he discovers his artistic talent and becomes a sensation in the world of modern art. And all this because the creation of his masterpieces happens at a very intimate moment... The fame of the unusual artist spreads across the Internet, and even experts from Moscow come to visit an exhibition of Anatoly’s urinary painting. And like in the Russian fairy tale, the hero is miraculously showered with recognition and money. But Tolya prefers to stay incognito, trying to understand whether his work is real art. And the men from the factory would laugh at him if they found out.",1.9208,0,"2018-06-03","Released"
"18",1500,0,"Livescream","Every day, over 200 loving fans watch Scott Atkinson play horror games online. After a lifetime of failures and false starts, streaming games is the only thing he's good at...until it becomes a nightmare.  Enter Livescream - a mysterious horror game sent to him by an anonymous fan. At first, he thinks the game is a low quality indie title. But when his followers start dying one by one, he soon realizes the game is far more sinister. Now, Scott will be forced through nine levels of video game hell, each level representing a different horror game niche, in order to walk away alive.",5.488,0,"2018-05-25","Released"
"19",5000,0,"Neapolitan","In 2002, an introverted young man falls in love on a beta-test dating site only for the young woman to abruptly stop talking to him. He sets to find out why.",0,0,"","Released"
"20",19116000,0,"The Man Who Killed Don Quixote","An advertising executive jumps back and forth in time between 21st century London and 17th century La Mancha, where Don Quixote mistakes him for Sancho Panza.",8.437252,11,"2018-06-25","Released"
"21",0,0,"Non Fiction","Alain and Léonard, a writer and a publisher, are overwhelmed by the new practices of the publishing world.  Deaf to the desires of their wives, they struggle to find their place in a society whose code they can no longer crack.",5.520338,0,"2018-05-17","Post Production"
"22",8500000,0,"Under the Silver Lake","Young and disenchanted Sam meets a mysterious and beautiful woman who's swimming in his building's pool one night. When she suddenly vanishes the next morning, Sam embarks on a surreal quest across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal and conspiracy.",3.719832,2,"2018-06-22","Released"
"23",0,0,"BlacKkKlansman","Ron Stallworth, an African-American police officer from Colorado, successfully managed to infiltrate the local Ku Klux Klan and became the head of the local chapter.",8.130176,0,"2018-08-10","Released"
"24",0,0,"Sextape","",1.051514,0,"2018-06-20","Released"
"25",0,0,"The World is Yours","A former drug dealer wants to set up a small business in Algeria and  is counting on the money he earned while dealing, which his mother is supposed to have hidden away for him. But unfortunately, she has gambled it all away. He is then forced to go back to a life of crime and, together with a friend and his ex, agrees to one last deal to get his plans back on track",0.390408,0,"2018-08-22","Released"
"26",110000000,301336221,"Deadpool 2","Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.",302.43477,850,"2018-05-15","Released"
"27",0,0,"5 Weddings","An American journalist travels to India to cover Bollywood weddings, only to uncover a mosaic of cultural clashes, transgender tangles and lost loves with her travels culminating at a destination where the only journey is the one within.",1.437684,1,"2018-08-24","Post Production"
