"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",0,0,"The Mule","A 90-year-old horticulturalist and WWII veteran is caught transporting $3 million worth of cocaine through Michigan for a Mexican drug cartel.",1.651617,0,"2018-12-31","In Production"
"2",0,0,"Sympathy for Mr. Vengeance","A recently laid off factory worker kidnaps his former boss' daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",0.147075,0,"2018-12-31","Rumored"
"3",0,0,"Domino","A fast-paced thriller about Christian, a Copenhagen police officer seeking justice for his partner’s murder by a mysterious man called Imran. In a world wracked by terror and suspicion, Christian and Alex, a fellow cop and his late partner’s mistress, embark on a mission to hunt Imran down, but are unwittingly caught in a cat and mouse chase with a duplicitous CIA agent who is using Imran as a pawn to trap ISIS members. Soon Christian and Alex are racing against the clock – from the frosty cities of Scandinavia to the sun-drenched landscapes of Spain – not only seeking revenge, but to save their own lives.",1.741936,0,"2018-09-06","Post Production"
"4",0,0,"Cranium Intel II: Magnetic Contamination","The sequel to the sci-trilogy based on the Military Execution Saga novel series.",0.518384,0,"2018-07-04","Released"
"5",0,0,"Ocean's 8","Debbie Ocean, a criminal mastermind, gathers a crew of seven other female thieves to pull off the heist of the century at New York's annual Met Gala.",15.393933,0,"2018-06-07","Post Production"
"6",0,0,"Dogman","A revenge drama set on Rome’s crime-ridden outskirts, inspired by a homicide committed by a coked-out dog groomer during the late 1980s.",14.836756,44,"2018-05-17","Post Production"
"7",8500000,0,"Under the Silver Lake","Young and disenchanted Sam meets a mysterious and beautiful woman who's swimming in his building's pool one night. When she suddenly vanishes the next morning, Sam embarks on a surreal quest across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal and conspiracy.",3.719832,2,"2018-06-22","Released"
"8",0,0,"Gotti","John Gotti rises to the top of the New York underworld to become the boss of the Gambino crime family. His life takes a tumultuous turn as he faces tragedy, multiple trials and a prison sentence.",2.855441,7,"2018-06-15","Post Production"
"9",0,0,"BlacKkKlansman","Ron Stallworth, an African-American police officer from Colorado, successfully managed to infiltrate the local Ku Klux Klan and became the head of the local chapter.",8.429813,0,"2018-08-10","Released"
"10",0,0,"The World is Yours","A former drug dealer wants to set up a small business in Algeria and  is counting on the money he earned while dealing, which his mother is supposed to have hidden away for him. But unfortunately, she has gambled it all away. He is then forced to go back to a life of crime and, together with a friend and his ex, agrees to one last deal to get his plans back on track",0.390408,0,"2018-08-22","Released"
"11",0,0,"The Angel","About a real-life criminal who shocked Argentine society: Carlos Robledo Puch, a merciless teen killer dubbed “The Angel of Death” because of his beatific good looks, who now ranks as the longest-serving prison inmate in Argentine history.",4.405486,1,"2018-05-11","Post Production"
"12",0,0,"Ash Is Purest White","Set in China's underworld, this tale of love and betrayal follows a dancer who fired a gun to protect her mobster boyfriend during a fight. On release from prison 5 years later, she sets out to find him.",2.35212,0,"2018-12-31","Released"
"13",0,0,"Terminal","In the dark heart of a sprawling, anonymous city, two assassins carrying out a sinister mission, a teacher battles a fatal illness, and an enigmatic janitor and a curious waitress leading dangerous double lives. Murderous consequences unravel in the dead of night as their lives all intertwine at the hands of a mysterious criminal mastermind hell-bent on revenge.",35.569907,25,"2018-05-11","Released"
"14",0,0,"Stockholm","Based on the extraordinary true story of the European city’s 1973 bank heist and hostage crisis that was documented in the 1974 New Yorker article “The Bank Drama” by Daniel Lang. The events grasped the world’s attention when the hostages bonded with their captors and turned against the authorities, giving rise to the psychological phenomenon known as “Stockholm Syndrome.”",1.909826,0,"2018-04-19","Post Production"
"15",0,0,"La Noche Que No Se Repite","A small rural town is the center of multiple parallel stories that intertwine the fate of several different characters across a single night. Some of them are: Juan Manuel y Esteban, two bored teenagers competing for the love of a French exchange student who decide to play a prank to ""Fat Pablo"", a naive pizza delivery boy that is mistaken as a delinquent by Olveira y Sandro. These two arrive to town to assault a corrupt ranch owner, a coup planned by ""El Tranquera"", a small-time dealer. Either chance or destiny make of this fateful night a turning point in the lives of the characters.",0.50948,0,"2018-04-12","Released"
"16",0,0,"Caprice","A young couple in New York locks themselves into a kind of childlike romantic fantasy, with the city as their playground. When reality begins slipping inside their world, the relationship begins to sour, until it collapses under its own weight. For the remainder of the film, the young man attempts to recreate this type of codependent fantasy existence with whomever he can, with increasingly perverse &amp; disturbing results. In a search for love &amp; happiness, he finds only sickness &amp; destruction.",0.603441,0,"2018-03-30","Post Production"
"17",0,0,"Friday's Child","Fresh out of foster care at age 18, a young drifter turns to petty crime to survive, and discovers an impossible love in an unlikely friend.",3.49459,0,"2018-03-11","Post Production"
"18",500000,0,"The Revenge of Phantom Knight","A patriotic doctor returns to his homeland with his family, seeking a long missing treasure. A series of weird things keeps happening and the doctor begins to behave oddly. Meanwhile, a madman is murdering the local citizens and the doctor’s wife starts to have suspicions. Right before she is able to uncover the truth, another larger conspiracy quietly comes along.",0.27285,0,"2018-02-26","Released"
"19",0,0,"Museum","In 1985, a group of criminals mock the security of the National Museum of Anthropology in Mexico City to extract 140 pre-Hispanic pieces from their showcases.",0.843872,0,"2018-02-22","Released"
"20",0,0,"Prénom: Mathieu","Seventeen-year-old Mathieu Reymond lies brutally battered and raped in a field of reeds. It is only after his release from hospital that the memories come back, unannounced and fragmentary, but still so precise that regular meetings with two police officers not only allow the perpetrator’s identikit image to take shape, but also the chronology of the crime itself.",0.596096,0,"2018-02-20","Released"
"21",0,0,"Boys Cry","Mirko and Manolo are best friends and live in the suburbs of Rome. They both live in poor conditions with their single parents, are still in school and struggle with occasional odd jobs to make ends meet. Together they share dreams of women, of sex and money, of a better life to come. Then, after killing a man in a hit-and-run one night, they get involved with the local mafia and their lives change dramatically.",2.642641,1,"2018-02-17","Released"
"22",0,0,"The Weak Ones","Victor has a scuffle with a thirteen-year-old boy who is part of a gang.  Hours later he finds his beloved dogs murdered. He gets his gun and begins a journey on board his pick-up truck on a path that will take him across the hostile land of Sinaloa. In his search for clues he will meet disturbing and eccentric characters who may or may not tell the truth about the whereabouts of the young criminal.",0.30893,0,"2018-02-16","Released"
"23",0,0,"Killing Diaz","Five friends plot to murder an upstairs neighbor simply to avoid an awkward conversation.",0.299602,0,"2018-02-16","Released"
"24",0,0,"War Paint","An enigmatic narcissist befriends a despondent loner from Book Club and drags her on a gruesome misadventure.",0.225646,0,"2018-02-13","Released"
"25",0,0,"Sheeple","The story is about a family of three brothers and a sister in the suburbs of the city's poverty. Their elder brother owns a drug-producing kitchen and presides over the group, like a shepherd for sheep.",1.065638,1,"2018-02-05","Released"
"26",0,0,"Journal de ma tête","On February 27, 2009, pupil Benjamin Feller commits a crime which he has meticulously described beforehand in a diary entry. He goes to the post office to send the diary entry to his teacher before he shoots his parents and turns himself in to the police. His teacher Esther Fontanel tries to understand the events in retrospect. But as the journal’s addressee, she is increasingly targeted by the police herself.",0.401275,0,"2018-01-27","Released"
"27",0,0,"Savage Youth","Six young lives collide in the most horrific and twisted of ways. Based on true events.",2.480894,0,"2018-01-22","Released"
