"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"1",0,0,"I Know Catherine, The Log Lady","An authorized feature documentary about Catherine E. Coulson, best known as the Log Lady in David Lynch & Mark Frost's ""Twin Peaks"".",0.299,0,"2019-05-31","In Production",NA,"Next Step Studios, ","United States of America, "
"2",0,0,"The Highway Murders","A look at a series of unsolved murders.",0.130384,0,"2018-11-01","Released",NA,"Bristol County Media LLC, ",", , "
"3",0,0,"Kecksburg","A recreation of the Kecksburg events",0.822619,0,"2018-09-01","In Production",NA,"Grand Conspiracy Films, ",", , "
"4",0,0,"The Eulogy","Tragic story of child prodigy pianist-composer Geoffrey Tozer, inspired by former Prime Minister Paul Keating’s searing eulogy for the artist.",0.42153,0,"2018-08-02","Post Production",98,"Madman Entertainment, Freshwater Pictures, Grusoflix, Ikandy Films, Melbourne International Film Festival, ","Australia, "
"5",0,0,"Leunig: A Tale in 16 Parts","With an anarchic and life-affirming heart, this documentary feature celebrates self-expression, friendship, life and death, and the power of the imagination to ignite, enrage, heal and inspire. With exclusive, intimate access to Michael Leunig - one of Australia’s most renowned artists - we reveal the man behind the household name.",0.312397,0,"2018-08-02","Post Production",85,"Film Camp, Melbourne International Film Festival, ","Australia, "
"6",0,0,"Spitfire","SPITFIRE is a feature documentary about the people and the planes that helped win the Second World War. Through people personally connected to the events, this film will investigate the story of how the Spitfire, its stable-mate, the Hawker Hurricane and its great adversary, the Messerschmitt 109 came into being during the huge advances in aviation in the interwar period. And then how the pilots fared in combat, three miles up in the skies over Europe, Africa and Asia.",1.242064,0,"2018-07-20","Released",NA,"British Film Company, Elliptical Wing, ","United Kingdom, "
"7",0,0,"Cranium Intel II: Magnetic Contamination","The sequel to the sci-trilogy based on the Military Execution Saga novel series.",0.52986,0,"2018-07-04","Released",180,", , ",", , "
"8",0,0,"Finke: There and Back","Blood, sweat, and dollars spill across the centre of Australia at the iconic Finke Desert Race.",0.743299,0,"2018-06-30","Post Production",90,"Brindle Films, ","Australia, "
"9",0,0,"Postcards from the 48%","This is a film made by the some of the 48% who voted Remain. The film is of the 48% and for the 48%. It is their story, feelings and reasons for remain, made totally from their perspective.",0.736856,0,"2018-07-06","Post Production",NA,"Guerilla Docs, Postcard Films, ","United Kingdom, "
"10",0,0,"Sobchak Case","After the father’s death, the daughter of one of the forefathers of modern Russian democracy, Ksenia Sobchak, tries to understand the 18 years of his political fate. Together with the director Vera Krichevskaya she gives the word to Anatoli Sobchak’s colleagues and opponents, gets acquainted with the criminal case which annulled his career, and tries to find an answer to the question what Anatoly Sobchak’s fate would be in today’s Russia.",1.621453,0,"2018-06-12","Released",117,"<U+041A><U+0438><U+043D><U+043E><U+043A><U+043E><U+043C><U+043F><U+0430><U+043D><U+0438><U+044F> «<U+041C><U+0430><U+0433><U+043D><U+0435><U+0442><U+0438><U+043A>», ","Russia, "
