"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"1",0,0,"Knave","In a dismal night, the life of three individuals in New York City, will collide in a succession of horrible events.",0.020218,0,"2021-06-08","Planned",NA,"BlandKrause Studios, ","United States of America, "
"2",0,0,"The Anarchists vs ISIS","A group of American activists join forces with a Kurdish militia group to help defeat ISIS in Syria.",0.413298,0,"2019-12-31","Planned",NA,"Bold Films, Nine Stories Productions, ","United States of America, "
"3",0,0,"Call Black Horse","Set during the American Civil War. Plot unknown.",0.060227,0,"2019-12-31","Planned",NA,", , ",", , "
"4",0,0,"Blessed Virgin","The story of Sister Benedetta Carlini, a 15th century nun who was hailed as a visionary but later accused of fabricated miracles, homosexuality and other charges, and imprisoned for 35 years.",2.945727,0,"2019-12-31","In Production",NA,"SBS Productions, ","Netherlands, France, "
"5",0,0,"Battle of Britain","A feature film about the World War II battle of the same name.",0.040692,0,"2019-12-31","Planned",NA,"Scott Free Productions, Safe House Pictures, ","United Kingdom, United States of America, "
"6",0,0,"Burning Rainbow Farm","A pair of marijuana advocates try to hold their own against the FBI in a brutal five-day standoff.",0.042722,0,"2019-12-31","Planned",NA,", , ",", , "
"7",0,0,"The Lighthouse","The story of an aging lighthouse keeper named Old who lives in early 20th-century Maine. Plot unknown.",0.670157,0,"2019-12-31","In Production",NA,"A24, RT Features, New Regency Pictures, Parts and Labor, Maiden Voyage Pictures, ","United States of America, "
"8",19000000,0,"Limonov","The outrageous story of Eduard Limonov, the radical Soviet poet who became a bum in New York, a sensation in France, and a political antihero in Russia.",0.038554,0,"2019-12-31","In Production",NA,", , ",", , "
"9",0,0,"Hug Chickenpenny","Hug Chickenpenny is an anomalous child. Born from tragedy and unknown paternity, this asymmetrical and white-haired baby inspires both ire and pity at the orphanage, until the day that an elderly eccentric adopts him as a pet. The upbeat boy’s spirit is challenged in his new home and as he is exposed to prejudiced members of society in various encounters. Will Hug and his astronautical dreams survive our cruel and judgmental world?",0.052534,0,"2019-12-31","Planned",NA,", , ",", , "
"10",0,0,"Untitled Houston 1969 Project","Plot unknown. Described as a film set in Houston during the summer of 1969.",0.055289,0,"2019-12-31","In Production",NA,", , ",", , "
"11",0,0,"D.","The story of the Dreyfus Affair of 1894, a notorious miscarriage of justice in which French-Jewish officer Captain Alfred Dreyfus was wrongly convicted of spying for Germany, and sentenced to life imprisonment at Devil's Island, prompting a celebrated campaign to overturn the decision.",0.091541,1,"2019-12-31","Planned",NA,"ToMmY K. PICTURES, Les Films Alain Sarde, R.P. Productions, ","France, "
"12",0,0,"Benediction","A biopic about First World War poet Siegfried Sassoon.",0.121897,0,"2019-12-31","Planned",NA,", , ",", , "
"13",500000,0,"Martinez","Martinez, an embittered Chilean in his sixties who has lived in Mexico for the past 40 years and is being forced to retire from his job. As he struggles with life changes, a neighbor suddenly dies and as he sifts through her diary and her things, he begins to live vicariously through her and find new meaning in life.",0.090455,0,"2019-12-01","Planned",NA,"Ceibita Films, Monofilms, ","Chile, Mexico, United States of America, "
"14",280000,0,"Undertows","Seth’s world is falling apart around him, as his hatred towards his brother will cause him to make a bad choice that could lead to his death.",0.051182,0,"2019-11-26","In Production",100,"Undertows Productions, ","United States of America, "
"15",0,0,"The Painted Bird","A young Jewish boy in Poland seeks refuge in the forest during World War II where he encounters many different characters.",0.141854,0,"2019-05-31","In Production",NA,"Silver Screen, ","Ukraine, Czech Republic, Poland, "
"16",0,0,"Blossoms","Providing an image of the daily life of ordinary Shanghai people, the story is carried out over two periods: from the 1960s to the mid-1970s, the end of the Cultural Revolution; and from the 1980s to the start of the 21st century.",0.111613,0,"2019-05-20","In Production",NA,", , ",", , "
"17",4700000,0,"About Endlessness","Inspired by “One Thousand and One Nights”, the celebrated collection of Middle Eastern and Indian folk tales, “About Endlessness” explores the preciousness and beauty of our existence, awakening in us the wish to maintain this eternal treasure and pass it on, in a juxtaposition of tableaux capturing moments in life.",0.091988,0,"2019-05-15","In Production",NA,"Société Parisienne de Production (SOPRA), Roy Andersson Filmproduktion AB, 4½, Essential Filmproduktion GmbH, ","France, Sweden, Germany, Norway, "
"18",0,0,"Seeds","When three generations of women return to post-Soviet Europe to care for an ailing patriarch, they face a corrupt healthcare system and discover a society and a past that both links them together and sets them apart.",0.104328,1,"2019-04-09","Planned",90,"Pingvin Productions, ","Moldova, "
"19",1500000,0,"Baby Jane","Jane, a small-town girl, has moved to Helsinki and the world is finally open for her. Passionate and excited, she seeks adventure, all the things she has yearned for so long. Jane gravitates to a gay bar at night, staggers in her nervous state of mind, and suddenly there, right next to her, Jane finds her savior: Piki, the most dashing butch in town. Piki is perfect. Jane is hypnotized by Piki's dark-toned voice. Piki offers her an entire new universe, and even more - dreams.",0.078425,0,"2019-03-08","In Production",NA,"Oktober oy, ","Finland, "
"20",0,0,"Divine Love","The journey of a 42 year old woman who uses her position in a notary’s office to advance her mission to save struggling couples from divorce.  Whilst waiting for a Sign in recognition of her efforts, she is confronted with a crisis in her own marriage that ultimately brings her closer to God.",0.485453,0,"2019-02-20","In Production",140,"Desvia, ","Denmark, Brazil, Mexico, "
"21",0,0,"This World Won't Break","A personal look into the life of a struggling musician, Wes Milligan. In a world of overnight successes, Wes begins to feel left behind and realizes it's too late to stop following the dream and too early in his career to be a legend.",1.12112,0,"2019-01-25","Post Production",110,"Whiskey Beard Films, Westfolk Film Co., ","United States of America, "
