"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"1",280000,0,"Undertows","Seth’s world is falling apart around him, as his hatred towards his brother will cause him to make a bad choice that could lead to his death.",0.051182,0,"2019-11-26","In Production",100,"Undertows Productions, ","United States of America, "
"2",0,0,"Untitled Lani Pixels Project","Evil forces have invaded an isolated island and have targeted Patrick and Susan's grandfather, Mr. Campbell. Guided by Jack, a charming Irish rogue, the siblings end up on a dangerous journey filled with magic and mystery.",0.551912,0,"2019-01-01","In Production",NA,"Lani Pixels, ","Denmark, "
"3",0,0,"Patrick","Sarah Francis is a young woman whose life is a bit of a mess. The last thing she needs is someone else to look after, let alone someone who dribbles, snores and eats from the kitchen trash. Yet, like it or not, her grandmother has left Sarah her prized possession, a very spoilt pug named Patrick. Surely she must have had her reasons?! Apparently not, as this four-legged friend proceeds to cause chaos in all aspects of Sarah’s life. But then something remarkable happens as Patrick, with all his stubby, stumpy attitude, begins to turn her life around.",1.41397,0,"2018-06-29","Post Production",NA,"Head Gear Films, The Exchange, Metrol Technology, BondIt, Wagging Tale Productions, Buena Vista International, ","United Kingdom, "
"4",0,0,"Scraps","The story of a boy made of trash, built by his creator Gordon Grott as a surrogate for his estranged son. When Scraps comes to life one day and sees what a perfect family looks like, he decides to try and bond with the only father figure he has.",1.399118,1,"2018-04-23","Released",10,"London Film School, ","United Kingdom, "
"5",0,0,"Baba Yega: The Movie","",0.98185,1,"2018-03-28","Planned",NA,"Geronimo Films, ","Belgium, "
"6",17000000,269952634,"A Quiet Place","A family is forced to live in silence while hiding from creatures that hunt by sound.",59.507991,1088,"2018-04-05","Released",95,"Sunday Night, Platinum Dunes, Paramount, ","United States of America, "
"7",0,0,"Garfield: the Movie - James O'Donnell Edition","The Garfield Movie from 2004 gets given a fresh overhaul with all of Garfield's lines being replaced by James O'Donnell, the widely agreed human who most resembles Garfield. This is Garfield how it was meant to be seen.",0.778785,1,"2018-03-06","Released",80,"James O'Donnell Shitposting, ","United Kingdom, "
"8",500,0,"Ramekin","RAMEKIN tells the story of Emily (Jamie Saunders), a college girl in New York City coming to live in the spacious Upper West Side apartment of her recently-deceased grandmother. There she encounters a little white porcelain cup that slowly begins to control her life and demand the unthinkable.",0.28008,0,"2018-03-05","Released",70,", , ",", , "
"9",0,0,"Two Piece","Ava is on the way to the beach with her mum Kelly and her little brother Wally, but before they go she needs to find a new swimsuit. At the age of 13, this task is nowhere near as simple as it sounds.",0.231876,0,"2018-02-17","Released",7,"Tropfest Feature Program, ","Australia, "
"10",0,0,"A Kid Like Jake","A NYC couple navigate the competitive world of NYC kindergarten admissions while trying to understand what is best for their son.",5.561794,2,"2018-06-01","In Production",NA,"Burn Later Productions, that's wonderful production, ","United States of America, "
"11",50000000,22900000,"Early Man","Set at the dawn of time when dinosaurs and woolly mammoths roamed the earth, Early Man tells the story of how one plucky caveman unites his tribe against a mighty enemy and saves the day.",34.733634,96,"2018-01-26","Released",89,"Aardman Animations, StudioCanal, ","France, United Kingdom, United States of America, "
"12",0,0,"Dead Pigs","A pig farmer, a busboy, a salon owner, an expat architect and a jaded rich girl cross paths as thousands of dead pigs float down the Yangtze River toward Shanghai.",2.780032,0,"2018-01-19","Released",130,", , ","China, United States of America, "
"13",2469715,0,"CRUXMAN","",2.176272,0,"2018-01-19","Released",NA,"GPG Film, ","Italy, "
"14",0,944348,"Enchanted Princess","A family comedy about a young Prince, who sets on a mission to find a missing Princess from the neighborhood kingdom. Along the journey, Prince meets a doopie dragon who joins him on an adventure, but Prince does not know that the dragon isn't who he says he is.",0.467719,0,"2018-01-01","Released",75,"Kinofirma, ","Russia, "
"15",0,0,"Cool Cat: The Kids Superhero","Cool Cat is the Coolest Cat in the World. But Butch the Bully hates him and always tries to bully him, and Cool Cat shows kids how to win and be cool.",2.246013,0,"2018-01-01","Post Production",NA,"Derek Savage Productions, Cool Cat Productions, ","United States of America, "
"16",0,0,"Monky","Frank, 11 years old, finds one day's living monkey in the family garden. The monkey is called Monky. It's up to Franks family soon that Monky is not a regular monkey. Where does Monky come from and can she keep her from the village?",2.605391,0,"2017-12-22","Released",90,"Nordisk Film, ","Sweden, "
"17",0,0,"I am William","William's father is dead and his mother is mentally ill, so he lives with his uncle Nils. Nils is on early retirement, making money by buying things cheap and selling them high. He has also accumulated a large debt and city's gangsters are on him, demanding that he pays it full.  William sets out to pay off the debt of his uncle - and perhaps his courage might impress Viola too, a girl from his class.",0.753958,1,"2017-12-21","Released",86,"Meta Film, ","Denmark, "
"18",0,0,"A Level","After getting through the O/L Examination with outstanding results, Anuththara with his friends eagerly look forward to experience their final years in school as seniors in the A/L class. They befriend Ahinsa and the other new girls who join their school. Ahinsa draws everyone’s attention for her smartness as well as her cheerful yet mysterious behaviour. Her irregular school attendance and the rumours circulating about her, make the others suspect that there’s a hidden story behind her cheerfulness.",0.170033,1,"2017-12-18","Released",88,"Maharaja Entertainments (Pvt.) Ltd, ","Sri Lanka, "
"19",0,0,"95th Annual National Christmas Tree Lighting","On November 30, 2017 the National Park Service and National Park Foundation will present the annual National Christmas Tree Lighting. Popular entertainers and a United States military band add to the celebratory evening.",0.120617,0,"2017-11-30","Released",58,"the national tree, ","United States of America, "
"20",2000000,0,"Mayflower, Quiltshoe & The Rubens Brothers","When Kattilakoski family goes on a week-long Summer vacation to a rented cottage, the local police constables Bigbelly and Stronglass are joyful. Finally one week of peace! Their joy doubles when they win a rent-free summer cottage for one week. What they don't know is, that these two cottages are next to each other! When the truth comes out, the constables are forced to masquerade themselves to remain incognito. Unfortunately their alter egos, artistic Rubens brothers, become an instant hit for Mother Kattilakoski. Mayflower and Quiltshoe have instant doubts about Rubens; they must be escaped bandits instead. The girls set to prove their theory.",0.197107,0,"2017-11-24","Released",91,"Yellow Film & TV, ","Finland, "
"21",0,0,"Moomins and the Winter Wonderland","This winter is extraordinary; Moomintroll decides  to stay awake to explore the winter instead of hibernating as usually. And winters are certainly totally different than he had imagined. Strangest creatures wander amidst the snowdrifts; midwinter darkness surrounds the Moominvalley, and on top of that, an eccentric guest is soon to appear. This guest requires many measures, and is called Christmas, Hemulen tells to a surprised Moomintroll.",2.601673,3,"2017-11-23","In Production",NA,"Oy Filmkompaniet Alpha Ab, Animoon, ","Poland, Finland, "
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"36",0,0,"My Giraffe","Dikkertje Dap was born on the same day as Raf the giraffe. Dikkertje can often be found at the zoo, because Raf is his best friend. They are inseparable, until Dikkertje goes to school for the first time and finds out giraffes can’t go to school. Dikkertje dearly misses Raf, but also experiences exciting new things. He even makes a new friend: Yous. Raf misses Dikkertje too. So Dikkertje devises a plan to bring the giraffe to school and introduce his two friends to each other.",0.311309,5,"2017-10-04","Released",72,"Lemming Film, A Private View, Hamster Film, ","Belgium, Netherlands, Germany, "
"37",0,0,"Märta Proppmätt","The goldfish Märta Proppmätt (Meaty Märta) has a tendency to end up in situations where her hunger forces her to a dilemma. When the aquarium where she lives gets new inhabitants it becomes increasingly hard for Märta to eat and fart her way through life.",0.083713,0,"2017-09-22","Released",28,", , ","Philippines, Sweden, "
"38",0,1735251,"Goodbye Christopher Robin","The behind the scenes story of the life of A.A. Milne and the creation of the Winnie the Pooh stories inspired by his son Christopher Robin.",10.657087,162,"2017-09-29","Released",107,"Fox Searchlight Pictures, DJ Films, ","United Kingdom, "
"39",70000000,123081555,"The LEGO Ninjago Movie","Six young ninjas are tasked with defending their island home of Ninjago. By night, they’re gifted warriors using their skill and awesome fleet of vehicles to fight villains and monsters. By day, they’re ordinary teens struggling against their greatest enemy....high school.",10.292947,239,"2017-09-21","Released",101,"Warner Bros. Animation, LEGO System A/S, Lin Pictures, Lord Miller, Vertigo Entertainment, Warner Animation Group, ","Denmark, United States of America, "
"40",1400000,0,"The Secret Garden","Based on Frances Hodgson Burnett’s 1911 book, the story centers on Mary Lennox, a troubled, sickly, 10-year-old orphan who is sent to live with an uncle in England when her parents die in a cholera outbreak. Initially sour and rude, Mary begins to explore the grounds of her uncle’s estate and befriends a robin. After hearing of the eponymous walled garden, she sets out to find it, discovering it to be more magical than she ever could have imagined.",0.000308,0,"2017-09-09","Released",90,"Dogwood Motion Picture Company, ","United States of America, "
"41",0,0,"<U+D638><U+BE44><U+C640> <U+B3D9><U+D654><U+B098><U+B77C> <U+B300><U+BAA8><U+D5D8>","",0.083613,0,"2017-09-05","Released",NA,", , ","Japan, "
"42",0,0,"Let Him Be a Basketball Player","Story of Ranta, always hungry, clumsy and infinitely tall teenage boy (so tall that he could tie a necktie for Giraffes). When the gym teacher at his school invites him to play for a basketball team, Ranta's world is turned upside down. So starts an exciting journey, full of unpredictable adventures with his funny friend/manager Smodlak by his side.",0.122724,0,"2017-09-14","Released",82,"Gustav Film, ","Slovenia, "
"43",40000000,65146020,"The Nut Job 2: Nutty by Nature","When the evil mayor of Oakton decides to bulldoze Liberty Park and build a dangerous amusement park in its place, Surly Squirrel and his ragtag group of animal friends need to band together to save their home, defeat the mayor, and take back the park.",7.80644,175,"2017-08-11","Released",91,"Gulfstream Pictures, Red Rover International, ToonBox Entertainment, Open Road Films, ","United States of America, Canada, South Korea, "
"44",0,0,"The Lion Guard: The Rise of Scar","After using the Roar of the Elders in anger, Kion unwittingly summons the Pride Lands' greatest villain, Scar.",0.113286,1,"2017-07-29","Released",51,"Walt Disney Television Animation, ",", , "
"45",30000000,46372519,"The Son of Bigfoot","Teenage outsider Adam sets out on an epic and daring quest to uncover the mystery behind his long-lost dad, only to find out that he is none other than the legendary Bigfoot! He has been hiding deep in the forest for years to protect himself and his family from HairCo., a giant corporation eager to run scientific experiments with his special DNA. As father and son start making up for lost time after the boy's initial disbelief, Adam soon discovers that he too is gifted with superpowers beyond his imagination. But little do they know, HairCo. is on their tail as Adam's traces have led them to Bigfoot!",7.980316,81,"2017-07-27","Released",92,"StudioCanal, ","Belgium, "
"46",0,0,"The Jungle Bunch","Maurice may look like a penguin - but he's a real tiger inside! Raised by a tigress, he's the clumsiest kung-fu master ever. Along with his friends, The Jungle Bunch, he intends to maintain order and justice in the jungle, as his mother did before he. But Igor, an evil koala, wants to destroy the jungle once and for all—helped by his army of silly baboons.",2.894181,15,"2017-07-26","Released",98,", , ","France, "
"47",0,0,"Shooting Girls","The Samrye Girl’s Middle School soccer club always loses. There’s no sufficient support for the club and to make matters worse, the main striker transfers to another school. Would it be feasible to make a miracle happen at the National Convention?",0.091673,0,"2017-07-15","Released",97,", , ","South Korea, "
"48",0,0,"Pokémon the Movie: I Choose You!","This is the story of how Ash and Pikachu first met. At first, Pikachu was disobedient towards Ash, but Ash only wanted to be friends with Pikachu. On the day they set out from Pallet Town, both of them saw a Ho-Oh flying and they made a vow to meet it.",10.268253,179,"2017-07-15","Released",98,"The Pokémon Company, ","Japan, "
"49",0,0,"<U+0421><U+043A><U+0430><U+0437> <U+043E> <U+041F><U+0435><U+0442><U+0440><U+0435> <U+0438> <U+0424><U+0435><U+0432><U+0440><U+043E><U+043D><U+0438><U+0438>","",0.089401,0,"2017-07-06","Released",NA,", , ",", , "
"50",0,0,"Puppy!","The residents of Hotel Transylvania find their world turned upside-down when youngster Dennis gets a surprise monster-sized pet.",3.801928,14,"2017-07-28","Released",5,"Sony Pictures Animation, ","United States of America, "
"51",0,4870000,"The Big Bad Fox and Other Tales","The Big Bad Fox recounts the misadventures of a young clumsy Fox and a feisty little red Hen.  The Fox, both a little stupid and naïve, tries daily to devour the little Hen, without success. Tired of the repeated humiliation, the Fox is persuaded to steal the Hen’s eggs to raise and then eat. This plan seems perfect, until the moment the chicks hatch…",4.957378,42,"2017-06-21","Released",79,"Folivari, Panique, StudioCanal, ","Belgium, France, "
"52",80000000,1031552585,"Despicable Me 3","Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.",18.663623,2979,"2017-06-15","Released",96,"Universal Pictures, Illumination Entertainment, ","United States of America, "
"53",3400000,0,"Rip Tide","There comes a point in everyone’s life when you have to make a decision about the direction you’re going to take. For newly-18 American fashion model Cora, that time is now. She’s moved to an Australian coastal town to be with her favourite aunt, after a 'fashion faux pas’ back home.",8.298075,95,"2017-06-10","Released",NA,"The Steve Jaggi Company, ","Australia, "
"54",0,0,"In a Heartbeat","A closeted boy runs the risk of being outed by his own heart after it pops out of his chest to chase down the boy of his dreams.",8.860356,409,"2017-06-01","Released",4,"Ringling College of Art and Design, ","United States of America, "
"55",0,0,"La memoria de mi padre","",2.11318,1,"2017-05-23","Released",NA,", , ","Spain, "
"56",175000000,383925276,"Cars 3","Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",24.021702,1596,"2017-06-15","Released",109,"Pixar, ","United States of America, "
"57",0,0,"Porcupine Lake","During a hot and hazy summertime in northern Ontario, 13-year-old Bea wants a best friend more than anything else, but when she meets boisterous Kate, she gets more than she imagined. A story of bravery, small-town summer love, and the secret world of girls.",2.946712,0,"2017-05-21","Released",100,", , ",", , "
"58",0,0,"Tea Pets","A group of tea pets—cute clay figurines that are good-luck charms for tea drinkers—embark on a magical animated adventure to find a fabled mystic.",2.422403,1,"2017-07-21","Released",98,", , ","China, "
"59",22000000,40120144,"Diary of a Wimpy Kid: The Long Haul","A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.",11.772086,105,"2017-05-19","Released",91,"20th Century Fox, ","United States of America, "
"60",0,0,"Raymond's 5","Raymond's 5 is a story following a middle-aged man, ""Raymond"" who has been told he has just 30 more days to live. Raymond goes on a journey around the country visiting the 5 people he feels he has done the most wrong by in his life.",1.31614,1,"2017-05-18","Released",116,"Hastings Infinity Films, ","United Kingdom, "
"61",0,0,"A Stork's Journey","Orphaned at birth and raised by storks, the teenage sparrow Richard believes he is one of them. But when the time comes to migrate to Africa, his stork family is forced to reveal his true identity and leave him behind in the forest, since he is not a migratory bird and would not survive the journey. Determined to prove he is a stork after all, Richard ventures south on his own. But only with the help of Olga, an eccentric owl with an imaginary friend and Kiki, a narcissistic, disco-singing parakeet, does he stand a chance to reach his goal and learn to accept who he really is.",3.764702,37,"2017-05-05","Released",85,"Walking The Dog, Mélusine Productions, Den Siste Skilling, Knudsen & Streuber Medienmanufaktur, Ulysses Filmproduktion, ","Belgium, Germany, Luxembourg, Norway, "
"62",0,0,"Qwerty","A grieving young inventor finds solace in repairing an antique typewriter.",0.079622,0,"2017-05-05","Released",10,"Fiddly Fig Animation Studios, ","United States of America, "
"63",0,0,"Fantastic Journey to Oz","The cunning and wicked Urfin wants to become ruler of Magic Land. With an army of wooden soldiers, he captures the Emerald City and renames it ti Urfinville. He is all but ready to celebrate victory, when his plans are ruined by an ordinary girl named Dorothy, who arrives in Magic Land just at the right time. She must return home, but not before she helps her friends - the Scarecrow, the Tin Man, and new-brave Lion - defeat Urfin. And in order to do that, they need to find out who he really is.",7.416026,2,"2017-04-20","Released",82,"Melnitsa Animation Studio, CTB Film Company, ","Russia, "
"64",0,0,"Black Dog, Red Dog","Follows the life of Stephen Dobyns as he deals with life, women, and his move from journalism to poetry.",0.892269,2,"2017-04-05","Post Production",85,"Hello Please, Black Dog, Red Dog, Elysium Bandini Studios, ","United States of America, "
"65",60000000,197183546,"Smurfs: The Lost Village","In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.",11.256986,490,"2017-03-23","Released",89,"Kerner Entertainment Company, Columbia Pictures, Sony Pictures Animation, ","United States of America, "
"66",4000,0,"La chica del bañador verde","",0.08122,1,"2017-03-17","Released",NA,"Visuales 2000, ","Spain, "
"67",0,0,"Lou","A Pixar short about a lost-and-found box and the unseen monster within.",6.235845,84,"2017-06-16","Released",6,"Pixar, ","United States of America, "
"68",125000000,498814908,"The Boss Baby","A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.",7.946476,3196,"2017-03-23","Released",97,"DreamWorks Animation, 20th Century Fox, ","United States of America, "
"69",0,0,"DAM! The Story of Kit the Beaver","DAM! The Story of Kit the Beaver is an animated film that’s not about your average beaver. It’s the tale of Kit, a very independent (and easily distracted) young beaver who loves to explore the sounds of the forest she lives in. Animated short with original orchestral score performed by The Toronto Symphony Orchestra.",0.047389,0,"2017-02-25","Released",12,"Astronaught Media, ","Canada, "
"70",160000000,1263521126,"Beauty and the Beast","A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.",84.402522,8279,"2017-03-16","Released",129,"Walt Disney Pictures, Mandeville Films, ","United States of America, "
"71",0,0,"Oskar's America","Oskar's deepest wish is to be able to ride on the prairie with his mother over summer break. But alas, everything turns out differently than expected and the 10-year-old is forced to spend his vacation on his grumpy grandfather's farm. Oskar's only friend is the outsider Levi, who talks with his pony. Together they hatch a plan to get away from their grim reality: they’ll row across the Atlantic to America in grandfather's boat!",0.19651,0,"2017-03-24","Released",79,", , ",", , "
