"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"1",0,0,"Avatar 5","Plot unknown.",1.586992,2,"2025-12-17","In Production",NA,"Ingenious Film Partners, Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, ","United States of America, "
"2",60000000,0,"Monster Hunter","Plot unknown. Feature film based on the video game series by Capcom, in which the player takes the role of a hunter in a fantasy environment and completes quests by hunting out specific kinds of monsters to kill or capture.",0.419023,0,"2019-12-31","Planned",NA,", , ",", , "
"3",0,0,"The Lighthouse","The story of an aging lighthouse keeper named Old who lives in early 20th-century Maine. Plot unknown.",0.670157,0,"2019-12-31","In Production",NA,"A24, RT Features, New Regency Pictures, Parts and Labor, Maiden Voyage Pictures, ","United States of America, "
"4",0,0,"Hug Chickenpenny","Hug Chickenpenny is an anomalous child. Born from tragedy and unknown paternity, this asymmetrical and white-haired baby inspires both ire and pity at the orphanage, until the day that an elderly eccentric adopts him as a pet. The upbeat boy’s spirit is challenged in his new home and as he is exposed to prejudiced members of society in various encounters. Will Hug and his astronautical dreams survive our cruel and judgmental world?",0.052534,0,"2019-12-31","Planned",NA,", , ",", , "
"5",0,0,"Klonoa","Klonoa, a kind and good-hearted ""Dream Traveler"" protects the dreams of various worlds along with his friends Hewpoe, Lolo, Popka, and more.",0.190056,0,"2019-01-01","Planned",NA,"Henshin, ","United States of America, "
"6",0,0,"Harmony","Born with an energetic power to absorb fear from others, a young woman must find love to balance the fears of her own and fight an ever growing storm of negative energy.",0.000549,0,"2018-12-31","Post Production",97,"Cowlick Entertainment Group, FILM GRIT, Rhythmic Films, ","Australia, "
"7",0,0,"In the Blood","The story of Selina, a vampire who returns to a remote farmstead to destroy the last vestiges of her humanity — her long abandoned son.",0.096094,0,"2018-12-31","Planned",NA,"Retro Active Films, ","Australia, "
"8",0,0,"Down a Dark Hall","Kitt Gordy, a new student at the exclusive Blackwood Boarding School, confronts the institution's supernatural occurrences and dark powers of its headmistress.",1.409255,0,"2018-08-03","Post Production",NA,", , ",", , "
"9",0,0,"Almost Transparent Blue","On a bachelor party, Lucas, a withdrawn and shy man, evoques the last memory of his first love",0.313193,0,"2018-08-01","Post Production",29,", , ","Chile, "
"10",0,0,"Kung Fury II: The Movie","",1.152379,0,"2018-07-01","Planned",NA,"Lampray, Laser Unicorns, ","Sweden, United States of America, "
"11",19116000,0,"The Man Who Killed Don Quixote","An advertising executive jumps back and forth in time between 21st century London and 17th century La Mancha, where Don Quixote mistakes him for Sancho Panza.",11.086657,11,"2018-06-25","Released",132,"Tornasol Films, Entre Chien et Loup, Recorded Picture Company (RPC), Amazon Studios, Alacran Pictures, Eurimages, Movistar+, Proximus, Televisión Española, Ukbar Filmes, Wallimage, ","Belgium, France, Portugal, Spain, United Kingdom, United States of America, "
"12",0,0,"The Summer of the Electric Lion","Hidden in a house far from the city, Alonso accompanies his sister, Daniela.She waits to become the seventh wife of El León (The Lion), a prophet who - rumors says- electrocutes you when you touch him.",2.989793,0,"2018-05-11","Released",22,"Elëctrica Productora, Agosto Cine, ","Chile, "
"13",0,0,"Border","When a border guard with a sixth sense for identifying smugglers encounters the first person she cannot prove is guilty, she is forced to confront terrifying revelations about herself and humankind.",2.224691,0,"2018-05-10","Released",101,"Meta Film, Spark Films, ",", , "
"14",0,0,"Diamantino","Gabriel Abrantes and Daniel Schmidt imagine a famous football player absolutely everybody lusts after. An outlandish, ingenuous and funny comedy on the world of football and gigantic long-haired dogs that portrays the nation in dire need of heroes.",2.340287,0,"2018-05-08","Released",92,"Les films du Bélier, ","Portugal, "
"15",7,0,"Let's Be Friends","Connor, the new kid in school, is a lonely boy whose only friend is a stuffed toy named Beadie. When Conner brings Beadie to school, despite his father's warnings, a run in with a bully leads to horrific consequences.",1.398194,0,"2018-04-27","Released",9,"UConn Film Club, ",", , "
"16",0,0,"Scraps","The story of a boy made of trash, built by his creator Gordon Grott as a surrogate for his estranged son. When Scraps comes to life one day and sees what a perfect family looks like, he decides to try and bond with the only father figure he has.",1.399118,1,"2018-04-23","Released",10,"London Film School, ","United Kingdom, "
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
