"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",0,0,"Battle of Britain","A feature film about the World War II battle of the same name.",0.040692,0,"2019-12-31","Planned"
"2",0,0,"Blessed Virgin","The story of Sister Benedetta Carlini, a 15th century nun who was hailed as a visionary but later accused of fabricated miracles, homosexuality and other charges, and imprisoned for 35 years.",3.301093,0,"2019-12-31","In Production"
"3",0,0,"D.","The story of the Dreyfus Affair of 1894, a notorious miscarriage of justice in which French-Jewish officer Captain Alfred Dreyfus was wrongly convicted of spying for Germany, and sentenced to life imprisonment at Devil's Island, prompting a celebrated campaign to overturn the decision.",0.091541,1,"2019-12-31","Planned"
"4",19000000,0,"Limonov","The outrageous story of Eduard Limonov, the radical Soviet poet who became a bum in New York, a sensation in France, and a political antihero in Russia.",0.053016,0,"2019-12-31","In Production"
"5",0,0,"Agontimé","Priestess, slave, queen. After two centuries trapped in Sao Luis, Brazil, Agontimé breaks free and embarks back to her homeland, the Kingdom of Dahomey – current Benin –, hoping to retake the sacred place that is her by right.",0.09385,0,"2019-01-01","In Production"
"6",15000,0,"Night Shadows","Just outside Belfast in 1974, a British soldier faces the realisation that he can't stand by and let his superior officers treat the public in a violent and disrespectful manner. Whilst on duty at a roadblock, the consequences of his actions will have a devastating effect on those around him.",0.548761,0,"2018-07-14","Post Production"
"7",0,0,"The Story of Jonah — A Lesson in Courage and Mercy","",1.031462,0,"2018-07-10","Post Production"
"8",0,0,"Angelo","The true story of Angelo Soliman, a Nigerian born in the 18th century and taken by force from his homeland at the age of 10. After surviving to the long journey across the Atlantic, the young boy is sold to a European countess and turns into the object of an educational experiment. A few years later, Angelo moves up closer to the Monarch, becoming a costumed story-telling valet, reciting stories about Africa to entertain the enlightened high-society, where he meets a young courtesan. While falling in love, Angelo inevitably suffers the rejection from the court that draws the line between the racial differences.",1.950677,0,"2018-07-01","Post Production"
"9",0,0,"A Man is Dead","Brest, 1950. The war ended five years ago and nothing remains of the city. Massive bombings and intense fighting lasting more than a month turned the city, its docks, its arsenal, into ashes. Thousands of workers will build it up again, brick by brick. But with awful work conditions protests quickly arise and a strike begins. Violent confrontations happen during manifestations. Until one man falls.  The next day René Vautier lands at Brest clandestinely to make a movie about the movement.",0.012464,0,"2018-06-11","Released"
"10",0,0,"Gotti","John Gotti rises to the top of the New York underworld to become the boss of the Gambino crime family. His life takes a tumultuous turn as he faces tragedy, multiple trials and a prison sentence.",2.588995,7,"2018-06-15","Released"
