"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"1",0,0,"Trick 'r Treat 2","A sequel to 2007's ""Trick 'r Treat"".",0.052333,0,"2020-12-31","Planned",NA,", , ",", , "
"2",0,0,"Aleister Arcane","Based on the 2004 comic, Aleister Arcane told the story of a Los Angeles weatherman named Aleister Green who returns to his hometown to host a midnight horror show a la Elvira. Under the guise of a mad scientist named Aleister Arcane, Green performed little skits until the local sponsors balked at the gore. An incident with two kids leads to him to be put on trial, breaking his spirit and into an early grave. Not long after, grisly activities begin to occur and only the kids have the power to thwart the curse he has laid upon their town.",0.1151,0,"2020-12-31","Planned",NA,"Amblin Entertainment, ",", , "
"3",0,0,"Wolf Creek 3","",4.681295,1,"2019-12-31","Planned",NA,"Screen Australia, Emu Creek Pictures, Screen Queensland, Village Roadshow Pictures, ","Australia, "
"4",0,0,"Untitled Spawn Film","NYPD detective Twitch Williams investigates a series of grisly murder scenes, perpetrated by the mysterious supernatural vigilante Spawn.",0.04984,0,"2019-12-31","Planned",NA,"McFarlane Films, Blumhouse Productions, ","United States of America, "
"5",0,0,"The Lighthouse","The story of an aging lighthouse keeper named Old who lives in early 20th-century Maine. Plot unknown.",0.670157,0,"2019-12-31","In Production",NA,"A24, RT Features, New Regency Pictures, Parts and Labor, Maiden Voyage Pictures, ","United States of America, "
"6",0,0,"Black Water: The Abyss","Eric and Jennifer, a young, adventure-loving couple convince their friends Yolanda and Viktor to explore a remote, uncharted cave system in the forests of Northern Australia. With a storm approaching, they abseil into the mouth of the cave, which starts to flood and they find themselves threatened by a pack of crocodiles. Long-kept secrets emerge and the friends turn on each other in a fight for survival.",0.006359,0,"2019-12-31","In Production",NA,"Altitude Film Sales, Cornerstone Pictures, ProdigyMovies, ","Australia, United States of America, "
"7",0,0,"Crawl","A young woman becomes trapped in a flooding house during a Category 5 hurricane and must battle against Florida's most savage and feared predators.",0.077603,0,"2019-12-31","In Production",NA,"Ghost House Pictures, ","United States of America, "
"8",0,0,"3 from Hell","Sequel to ""House of 1000 Corpses"" (2003) and ""The Devil's Rejects"" (2005). Plot unknown.",0.602475,0,"2019-12-31","In Production",NA,"Lionsgate, ",", , "
"9",0,0,"The Sandman","THE SANDMAN tells the story of Nathan, a young student in the city who struggles to forget his childhood trauma at the hands of the serial killer dubbed ""The Sandman."" Nathan killed The Sandman years ago, on Christmas Eve, after he witnessed the murder of his mother... until he sees the beautiful woman who lives in the apartment across the way dying at the hands of that same masked killer. This brutal murder plunges Nathan into an odyssey into the night country of his past, his dreams... and the buried secrets of The Sandman.",2.459598,0,"2018-12-31","Planned",NA,", , ","Germany, Canada, "
"10",0,0,"Rabid","When a young woman is left scarred beyond recognition following an accident, she undergoes a radical untested stem-cell treatment. And while the procedure turns her into the belle of the ball, the experimental transformation comes at a price...",0.133927,0,"2018-12-31","In Production",NA,", , ",", , "
"11",0,0,"Friend of the World","After a catastrophic war, an eccentric general guides a filmmaker through a ravaged bunker.",2.456189,0,"2018-12-31","Post Production",NA,"Rosewood 5, Rosewood 5 Studios, Rosewood Five, ","United States of America, "
"12",0,0,"Nosferatu","A 'remix' of 1922's ""Nosferatu"", utilizing green screen to insert new actors into the original film's environments.",0.933806,0,"2018-12-31","Post Production",NA,"BeamScreen Productions, ","United States of America, "
