"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"1",0,0,"This World Won't Break","A personal look into the life of a struggling musician, Wes Milligan. In a world of overnight successes, Wes begins to feel left behind and realizes it's too late to stop following the dream and too early in his career to be a legend.",1.12112,0,"2019-01-25","Post Production",110,"Whiskey Beard Films, Westfolk Film Co., ","United States of America, "
"2",1800000,0,"The Singer - Olavi Virta","Olavi Virta is a film about the all-time favourite singer in Finland. A man whose dreams were interrupted by war, a man who rose from poverty all the way to the top and became an artist that was dearly loved by the Finnish people. A man who performed both on stage and in films and who finally lost everything but his unique voice.",0.920097,0,"2018-10-05","In Production",NA,"Artista-Filmi, ",", , "
"3",300,0,"Conference Call","Jack and Judy are two students at the University Of Toronto. Jack is a filmmaker in his masters, with great potential but poor execution skills, while Judy is an overachieving but highly insecure literature student, in her last year of a PhD. They are brought together by a conference, which Judy is presenting at, and Jack is filming. We follow the ups and downs of their ensuing relationship, as they both learn more about each other and themselves through the process.",1.473842,0,"2018-06-08","In Production",85,"Act IIII Productions, Ellis & Ellis Pictures, Geminus Studios, ","Canada, "
"4",0,0,"Whitney","Filmmaker Kevin Macdonald examines the life and career of singer Whitney Houston. Features never-before-seen archival footage, exclusive recordings, rare performances and interviews with the people who knew her best.",2.68836,0,"2018-07-06","Released",120,"Lightbox Entertainment, Altitude Film Entertainment, Happy Street Entertainment, ","United Kingdom, United States of America, "
"5",0,0,"Her Sound, Her Story","Pushing women to the forefront, ""Her Sound, Her Story"" is an intimate conversation unveiling the personal experiences, histories and the significant social impact women have within the Australian music industry. Featuring conversations with over forty women, this one-of-a-kind all-female narrative is brimming with individuality, strength and creativity.",1.601,0,"2018-05-11","Post Production",70,", , ","Australia, "
"6",0,0,"Summer","Leningrad, one summer in the early eighties. Smuggling LP’s by Lou Reed and David Bowie, the underground rock scene is boiling ahead of the Perestroika. Mike and his beautiful wife Natasha meet with young Viktor Tsoï. Together with friends, they will change the destiny of rock’n’roll in the Soviet Union.",0.146392,2,"2018-06-07","Released",126,"Hype Film, Kinovista, Charades, BAC Films, CNC Aide aux cinémas du monde - Institut Français, ","France, Russia, "
"7",0,0,"Fiction and Other Realities","Fiction & Other Realities tells the story of Bobby, a Korean-American singer-songwriter who tries to find himself in a country his parents originally immigrated from. Featuring the music of singer-songwriter Big Phony, this music centered film takes us on a search for love and self-identity.",1.224159,1,"2018-05-05","Post Production",90,", , ","South Korea, United States of America, "
"8",0,0,"Dirty Computer","The story of a young woman named Jane 57821, who is living in a totalitarian near-future society where citizens are referred to as 'computers.' 'Dirty Computer' explores humanity and what truly happens to life, liberty and the pursuit of happiness when mind and machines merge, and when the government chooses fear over freedom.",2.003656,6,"2018-04-23","Released",49,"Wondaland, ","United States of America, "
"9",0,0,"Slave To The Grind","Grindcore is the worlds fastest most aggressively intense music. Fusing the anarchistic and leftist attitudes of the UK Punk scene with the speed and drunken aggression of American Death Metal, Grindcore continues to challenge and offend most listeners.",0.671831,0,"2018-04-21","Post Production",NA,"Death By Digital Productions, ","Canada, "
"10",0,0,"Trawun=ReUnión","A musical journey through the poetry of the Mapuche poet Elicura Chihuailaf, in a project that proposes a Trawvn, a meeting between the Kalfu group and the compositive collaboration of renowned musicians, such as Francisca Valenzuela, Nano Stern, Joe Vasconcellos, Manuel García, Juanito Ayala , Tata Barahona and Pancho Sazo",0.564575,0,"2018-04-17","Released",58,", , ","Chile, "
"11",0,0,"Lessons of War","Meeting with numerous musicians affected by war, Northern Irish singer-songwriter Matt McGinn explores how they use music, not only to address their past, but to shape their future.",0.5375,0,"2018-04-15","Released",30,"Dortbox Films, ","Ireland, United Kingdom, "
"12",0,0,"Baba Yega: The Movie","",0.98185,1,"2018-03-28","Planned",NA,"Geronimo Films, ","Belgium, "
