"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",0,0,"Blessed Virgin","The story of Sister Benedetta Carlini, a 15th century nun who was hailed as a visionary but later accused of fabricated miracles, homosexuality and other charges, and imprisoned for 35 years.",3.301093,0,"2019-12-31","In Production"
"2",1500000,0,"Baby Jane","Jane, a small-town girl, has moved to Helsinki and the world is finally open for her. Passionate and excited, she seeks adventure, all the things she has yearned for so long. Jane gravitates to a gay bar at night, staggers in her nervous state of mind, and suddenly there, right next to her, Jane finds her savior: Piki, the most dashing butch in town. Piki is perfect. Jane is hypnotized by Piki's dark-toned voice. Piki offers her an entire new universe, and even more - dreams.",0.078425,0,"2019-03-08","In Production"
"3",0,0,"For Ever","Based on the Hungarian novel ""Our Street"" by Sandor Tar, the films deals with a post-apocalyptic Hungarian-Ukranian village where everything is rotten, planes randomly crash, and only alcohol moves people around - no money, no electricity, only barter. In this wasteland, Ocsenas is the only hero, the one trying to survive amidst the savages and war, the one who helps everyone out, all while caught up in a love triangle that will define his future.",0.231644,0,"2018-12-31","Post Production"
"4",0,0,"Harmony","Born with an energetic power to absorb fear from others, a young woman must find love to balance the fears of her own and fight an ever growing storm of negative energy.",0.000204,0,"2018-12-31","Post Production"
"5",0,0,"If Beale Street Could Talk","After a black man is jailed for a crime he didn't commit, his pregnant fiancé does all she can to free him. Adapted from James Baldwin's 1974 novel.",2.897215,0,"2018-12-31","Planned"
"6",0,0,"Beyond the Rye","Bored with his simple life in Norway, Espen comes to California as a foreign exchange student seeking a deeper purpose in life. At his new high school, he joins the tennis team and quickly wins new friends, but finds himself making compromising choices in order to fit in. After his girlfriend cheats on him at a New Year's party, Espen considers an early return to Norway. He seeks guidance from his host parents and his English teacher, who convince him to stay and finish the school year. When his girlfriend apologizes and wants him back, he finds the strength to forgive her and rebuild his friendships in the remaining weeks of the exchange program. When he gets humiliated in front of his classmates at prom, Espen must dig deeper than ever before to find the truth of who he is, before his sense of humanity is shattered",2.332212,0,"2018-09-05","Post Production"
"7",300,0,"Conference Call","Jack and Judy are two students at the University Of Toronto. Jack is a filmmaker in his masters, with great potential but poor execution skills, while Judy is an overachieving but highly insecure literature student, in her last year of a PhD. They are brought together by a conference, which Judy is presenting at, and Jack is filming. We follow the ups and downs of their ensuing relationship, as they both learn more about each other and themselves through the process.",1.826242,0,"2018-06-08","In Production"
"8",5000,0,"Neapolitan","In 2002, an introverted young man falls in love on a beta-test dating site only for the young woman to abruptly stop talking to him. He sets to find out why.",0,0,"","Released"
"9",0,0,"Ash Is Purest White","Set in China's underworld, this tale of love and betrayal follows a dancer who fired a gun to protect her mobster boyfriend during a fight. On release from prison 5 years later, she sets out to find him.",2.35212,0,"2018-12-31","Released"
"10",0,0,"5 Weddings","An American journalist travels to India to cover Bollywood weddings, only to uncover a mosaic of cultural clashes, transgender tangles and lost loves with her travels culminating at a destination where the only journey is the one within.",1.437684,1,"2018-08-24","Post Production"
"11",0,0,"Friend","Kena and Ziki long for something more. Despite the political rivalry between their families, the girls resist and remain close friends, supporting each other to pursue their dreams in a conservative society. When love blossoms between them, the two girls will be forced to choose between happiness and safety.",2.379587,0,"2018-05-08","Released"
"12",0,0,"Book Club","Four lifelong friends have their lives forever changed after reading Fifty Shades of Grey in their monthly book club.",19.549701,5,"2018-05-18","Released"
"13",0,0,"The Sky is Blue with Lies: Tribeca Phaedra","Late 70s, downtown NYC, bar scene. Fara, the bar keeper’s young wife, falls in love with her beautiful step son, Po, just back from California. Early 80s, a filmmaker goes back to the witnesses and players, who tell the story of the tragedy. It’s Phaedra and Hippolytus, shot in a cool-tempered No Wave style.",1.284451,0,"2018-05-06","Released"
"14",0,0,"Fiction and Other Realities","Fiction & Other Realities tells the story of Bobby, a Korean-American singer-songwriter who tries to find himself in a country his parents originally immigrated from. Featuring the music of singer-songwriter Big Phony, this music centered film takes us on a search for love and self-identity.",1.249236,1,"2018-05-05","Post Production"
"15",0,0,"The Iron Orchard","“The Iron Orchard"" is the story of Jim McNeely, a young man thrust into the vibrant and brutal West Texas oilfields in 1939, who works his way through the ranks to ultimately become a formidable wildcatter.",0.059296,0,"2018-05-05","Released"
"16",0,0,"Alex & The List","Alex, a lovable, unassuming dog trainer is in love with a great woman - Katherine - smart, talented, from a good family. Katherine adores Alex's quirky sense of humor, honesty and capacity to listen. Having decided to pop the question, Alex is blindsided when Katherine produces a detailed list of well-thought-out ""improvements"" she feels will tweak Alex on their way to becoming the ideal couple. Alex instinctively rejects the suggestion that he needs to change anything. But with the threat of a new competitor, Alex decides to ""do the list."" Guided by a coterie of friends that include: Dave, Alex's loyal childhood buddy, best female friend Lily, her husband Michael, and their 8 year old son, Nicky, Alex's journey has him reconsider and question his beliefs, values and world.",4.144931,4,"2018-05-04","Released"
"17",0,0,"Dirty Computer","The story of a young woman named Jane 57821, who is living in a totalitarian near-future society where citizens are referred to as 'computers.' 'Dirty Computer' explores humanity and what truly happens to life, liberty and the pursuit of happiness when mind and machines merge, and when the government chooses fear over freedom.",2.003656,5,"2018-04-23","Released"
"18",0,0,"Song of Back and Neck","A hapless man seeking treatment for his crippling back pain discovers a very unusual talent and unexpected love.",2.15613,0,"2018-04-23","Post Production"
"19",0,0,"Zoe","Two colleagues at a revolutionary research lab design technology to improve and perfect romantic relationships. As their work progresses, their discoveries become more profound.",3.459269,0,"2018-04-21","Post Production"
"20",0,0,"Duck Butter","Two women, who are dissatisfied with the dishonesty they see in dating and relationships, decide to make a pact to spend 24 hours together hoping to find a new way to create intimacy.",2.579304,2,"2018-04-20","Post Production"
"21",0,0,"The Significant Other","Directed by Joel Lamangan, “The Significant Other” follows the story of a rising fashion model (Erich Gonzales) who catches up and becomes BFFs with her catwalk idol (Lovi Poe). But all hell breaks lose when they realize that they are in love with the same man (Tom Rodriguez).",0.527237,0,"2018-02-21","Released"
"22",0,0,"Luz","A rainy night. Dazed and numb, Luz, a young cabdriver, drags herself into the brightly lit entrance of a run-down police station. In a nightspot, Nora seductively engages police psychiatrist Dr. Rossini in a conversation. Nora tells the Doctor about her old schoolmate Luz’ rebellious past at a Chilean school for girls. Nora is possessed by a demonic entity, longing for the woman it loves - Luz.",0.510866,0,"2018-02-20","Released"
"23",17000000,54752030,"Love, Simon","Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't know the identity of the anonymous classmate he's fallen for online.",22.098332,241,"2018-03-16","Released"
"24",0,0,"Dovlatov","Dovlatov charts six days in the life of brilliant, ironic writer who saw far beyond the rigid limits of 70s Soviet Russia. Sergei Dovlatov fought to preserve his own talent and decency with poet and writer Joseph Brodsky while watching his artist friends get crushed by the iron-willed state machinery.",0.493564,3,"2018-03-01","Released"
"25",0,0,"Jibril","The love story between Maryam and Gabriel starts by coincidence but feels like a match made in heaven. It also marks an emotional tide change in Maryam´s life in Berlin as a single mom of three daughters. Only one crucial thing stands between her, Gabriel and a “happily ever after” – prison bars. Nevertheless, the love Maryam feels empowers her not only to live in the moment, but to be true to herself when Gabriel suddenly starts to show a different side to his character.",0.229637,0,"2018-02-16","Released"
"26",0,0,"Light Beings","Once a year, lovers meet within an ancient rocky landscape, a secret place of ritual. A girl embarks on a journey to reunite with her light being, transfixed by his light forms and healed by his mystical powers, silent and still, they embrace in a dance of love and loss. The result is a spectacular, beautiful story that is simultaneously familiar yet alien.",0.213294,0,"2018-02-12","Released"
"27",2000000,0,"Women vs Men 2","Going on vacation right after divorce is an excellent idea. Especially when you drag along two of your best friends. You’re asking for trouble though, if  your beautiful ex is staying at the same hotel. Moreover so, if she brings two of her best friends as well. Those friends, that happen to be exes of your best friends. In this case, revenge for old grudges turns into teams' competition. Eventually, fun competition turns and scales up to a hurricane that's threatening to destroy the coast, but true love shall prevail.",0.852885,3,"2018-02-08","Released"
"28",55000000,368307760,"Fifty Shades Freed","Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",366.384884,1875,"2018-02-07","Released"
"29",0,0,"Eternal Winter","The true story of an unlikely romance in a Soviet labor camp.",0.798304,0,"2018-01-30","Released"
"30",0,0,"Ophelia","A re-imagining of Hamlet, told from Ophelia's perspective.",2.72674,0,"2018-01-22","Released"
"31",0,0,"A Boy. A Girl. A Dream: Love on Election Night","On the night of the 2016 Presidential election, Cass, an L.A. club promoter, takes a thrilling and emotional journey with Frida, a Midwestern visitor. She challenges him to revisit his broken dreams - while he pushes her to discover hers.",2.517343,0,"2018-01-22","Post Production"
