"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",0,0,"Avatar 5","Plot unknown.",1.79328,2,"2025-12-17","In Production"
"2",0,0,"Luna Park","A group of renegade space workers venture to the moon to steal an energy source.",0.692036,0,"2020-12-31","Planned"
"3",0,0,"Micro","A group of graduate students are lured to Hawaii to work for a mysterious biotech company — only to find themselves miniaturized and cast out into the rainforest, with nothing but their scientific expertise and wits to protect them.",0.108056,0,"2019-12-31","Planned"
"4",0,0,"Black Hole","The story sees a black hole enter our solar system, setting off natural disasters on an unprecedented scale. Cities are assaulted by gigantic meteorites, continents are devastated by super-volcanos, and Earth’s shifting axis triggers a cataclysmic second Ice Age. All the while, a team of scientists, soldiers and astronauts must work together to save the planet from imminent annihilation.",0.447166,0,"2019-12-31","Planned"
"5",0,0,"Seveneves","In the near future, an unknown force causes the Moon to shatter into seven pieces. Moon fragments will begin entering Earth's atmosphere, and blanketing the earth within two years. The story tells of the efforts to preserve human society in the wake of apocalyptic events on Earth by sending humans into space. 5,000 years later, their descendants return home to find a planet changed by time, catastrophic events, and terraforming. What could be waiting?",0.076775,0,"2019-12-31","Released"
"6",0,0,"O2","A woman wakes up inside a cryogenic chamber with no memory of how she got there and must escape before her air runs out.",0.106105,0,"2019-12-31","Released"
"7",0,0,"Possessor","A thriller about an agent who works for a secretive organization that uses brain-implant technology to enable its operatives to inhabit other people's bodies, ultimately driving them to carry out assassinations for high-paying clients.",0.041996,0,"2019-12-31","In Production"
"8",0,0,"Space Race","Plot unknown.",0.122566,0,"2019-04-01","Planned"
"9",0,0,"Rabid","When a young woman is left scarred beyond recognition following an accident, she undergoes a radical untested stem-cell treatment. And while the procedure turns her into the belle of the ball, the experimental transformation comes at a price...",0.153935,0,"2018-12-31","In Production"
"10",0,0,"Alien Nation","A remake off  the 1988 science fiction thriller. An alien race arrives on Earth and tries to co-exist with humans, despite the restrictions that have been placed on them to live in segregation.",0.131988,0,"2018-12-31","Planned"
"11",0,0,"Friend of the World","After a catastrophic war, an eccentric general guides a filmmaker through a ravaged bunker.",2.456189,0,"2018-12-31","Post Production"
"12",0,0,"Come True","Plot unknown.",1.233543,0,"2018-12-31","Post Production"
"13",0,0,"For Ever","Based on the Hungarian novel ""Our Street"" by Sandor Tar, the films deals with a post-apocalyptic Hungarian-Ukranian village where everything is rotten, planes randomly crash, and only alcohol moves people around - no money, no electricity, only barter. In this wasteland, Ocsenas is the only hero, the one trying to survive amidst the savages and war, the one who helps everyone out, all while caught up in a love triangle that will define his future.",0.231644,0,"2018-12-31","Post Production"
"14",0,0,"Bird Box","A woman and a pair of children are blindfolded and make their way through a post-apocalyptic setting along a river.",0.156206,0,"2018-12-21","In Production"
"15",3300000,0,"Absolute Access","2067: The super corporation increases revenues by robotizing processes by creating self-developing robots. Suddenly it turns out that it's not the corporation that manages the world, but robots of the 7th level.",0.120377,0,"2018-12-08","Post Production"
"16",0,0,"Esses Dias de Claridade","",1.02122,0,"2018-07-17","Released"
"17",0,0,"Cranium Intel II: Magnetic Contamination","The sequel to the sci-trilogy based on the Military Execution Saga novel series.",0.518384,0,"2018-07-04","Released"
"18",0,0,"Kung Fury II: The Movie","",0.858764,0,"2018-07-01","Planned"
"19",0,0,"Occupation","A small group of town residents have to band together after a devastating ground invasion. As they struggle to survive, they realize they must stay one step ahead of their attackers, and work together for a chance to strike back.",13.031687,0,"2018-05-25","Post Production"
"20",0,0,"Loophole","The future of humanity hangs in the balance, as both sides race against time to find the bloodline of Judas Iscariot.",4.853836,0,"2018-05-18","Post Production"
"21",110000000,301336221,"Deadpool 2","Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.",302.43477,850,"2018-05-15","Released"
"22",0,0,"Solo: A Star Wars Story","Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",68.64972,17,"2018-05-23","Released"
"23",0,0,"Diamantino","Gabriel Abrantes and Daniel Schmidt imagine a famous football player absolutely everybody lusts after. An outlandish, ingenuous and funny comedy on the world of football and gigantic long-haired dogs that portrays the nation in dire need of heroes.",2.340287,0,"2018-05-08","Released"
"24",2900,0,"Exit","Olivia works the late shift at the local Exit Bureau, where she spends her nights convincing people to end their lives for society's greater good. One evening, after her supervisor issues a chilling ultimatum, her world begins to fall apart.",0.889134,0,"2018-04-27","Released"
"25",300000000,1699419365,"Avengers: Infinity War","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",483.692239,3861,"2018-04-25","Released"
"26",0,0,"Three Worlds","Psychological science fiction drama that explores the three lives, or 'worlds,' of a man who undergoes an experiment that triggers haunting memories and alternate life 'memories.'",3.075373,1,"2018-04-21","Released"
"27",0,0,"Jonathan","Jonathan is a young man with a strange condition that only his brother understands.  But when he begins to yearn for a different life, their unique bond becomes increasingly tested.",2.905711,1,"2018-04-21","Post Production"
"28",0,0,"Zoe","Two colleagues at a revolutionary research lab design technology to improve and perfect romantic relationships. As their work progresses, their discoveries become more profound.",3.459269,0,"2018-04-21","Post Production"
"29",1000000,0,"Diminuendo","A director whose life crumbled when Cello, his Hollywood starlet girlfriend, killed herself, becomes obsessed with a robot designed to replicate her after he's offered the chance to direct the film of Cello's life.",0.679343,0,"2018-04-20","Released"
"30",0,0,"7 Planets","A great discovery, regarding seven Earth-size planets nearby our solar system, has been made. This is a story about one person’s lifelong obsession with such a discovery and her struggle to be understood.",0.865213,0,"2018-04-19","Released"
"31",0,0,"Property Exchange","A deal on assigning for property reveals more new rules and laws of the society in the nearest future. The rates haven’t been so high. Status is everything. Love is nothing.",2.424905,0,"2018-04-19","Released"
"32",0,0,"Interstellar Civil War: Shadows of the Empire","The Imperial Empire is attacked by an Alliance of rebels led by fanatical mystics. The ruler, Empress Nobu, the 8th generation of her family, wants to execute a bold plan to rescue a cyborg, Leah C6, trapped on the battle ravaged planet Endor. The Empress believes Leah C6 holds the secret to destroying the Alliance of Rebels before their insurgency can kill millions of citizens of the Empire. She recruits her heroic fleet commander, Lord General Luka Raan and asks him to gather a team from the Empire's elite soldiers, the Galactic Rangers. Raan assembles the team in the ruins of Endor which was attacked by depraved Rebels and outlaws led by, Kindo-Ker, a fanatical mystic in Dark Energy. The Galactic Rangers begin a desperate search to find and rescue Leah C6 before the Alliance Rebels can.",0.148102,1,"2018-04-15","Released"
"33",0,0,"Multiple Choice","",0.577582,0,"2018-04-14","Post Production"
"34",0,0,"Exit Strategy","A man who is trapped in a time loop must work with his brother to prevent a catastrophic fire.",0.570939,0,"2018-04-13","Released"
