"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"1",0,0,"Twin Betrayal","A struggling single mother, in the midst of a fierce custody battle, is framed for the murder of her wealthy father by her ambitious identical twin",1.597406,1,"2018-04-08","Released",80,"Lifetime, ","United States of America, "
"2",0,0,"Mother, May I Dance with Mary Jane's Fist?: A Lifetone Original Movie","In this homage to the melodramatic made-for-TV-movie genre, aspiring ballerina Mary Jane Stevens moves to a new town with her emotionally abusive mother in hopes of escaping her physically abusive father. Originally a play performed at the Upright Citizens Brigade theatre, the Adult Swim production was executive produced by Tim Heidecker and Eric Wareheim.",0.185123,1,"2018-01-07","Released",NA,"Adult Swim, ","United States of America, "
"3",0,0,"A Royal Christmas Ball","Dateless for the Christmas ball, 39-year-old bachelor, King Charles of Baltania, tracks down his American college sweetheart, only to discover Allison has never been married, yet raised a 17-year-old daughter, Lily, who mathematically might be Charles' biological princess.",2.824107,5,"2017-12-10","Released",85,"Hybrid Films, ","United States of America, "
"4",0,0,"Runaway Christmas Bride","A runaway bride, Kate, making herself scarce for the holidays, meets a ski patrol rescuer, Jason, at a resort. Her December days begin to brighten, until her parents and jilted fiancé, Alex, show up at the mountain to reset the wedding for Christmas.",2.235706,1,"2017-12-09","Released",85,", , ","Canada, "
"5",0,0,"Trolls Holiday","When the eternally optimistic Poppy, queen of the Trolls, learns that the Bergens no longer have any holidays on their calendar, she enlists the help of Branch and the rest of the gang on a delightfully quirky mission to fix something that the Bergens don't think is broken.",10.960594,81,"2017-11-24","Released",26,"NBC, DreamWorks Animation, ",", , "
"6",80000000,2600000,"Inhumans: The First Chapter","After the Royal Family of Inhumans is splintered by a military coup, they barely escape to Hawaii where their surprising interactions with the lush world and humanity around them may prove to not only save them, but Earth itself.",3.831853,36,"2017-09-01","Released",80,"ABC Studios, IMAX, ","United States of America, "
"7",0,0,"Eine gute Mutter","",0.409884,1,"2017-06-23","Released",NA,"FFP New Media GmbH, ARD/Degeto Film GmbH, ","Germany, "
"8",0,0,"Leaf","From can't miss future NFL star to incarcerated addict, former San Diego Charger Ryan Leaf shares insight into the choices and mistakes he made that changed his life forever.",0.062308,0,"2017-06-11","Released",60,"ESPN films, ","United States of America, "
"9",0,0,"A Deadly Affair","Mary (Austin Highsmith) and Charlie's (Alan Powell) marriage had become a little rocky, he forgot their anniversary whilst she almost slept with their friend Trevor (Luke Edwards) whose partner, Susan (Valerie Azlynn), is always working as she is a lawyer. But Mary is becoming suspicious of Charlie when he says he is working late on a property he is renovating and decides to show up there unannounced only to find him dead. With Charlie's sister, Crystal (Lorna Street Dopson), suspecting that Mary might have done it and with police investigating she turns to Susan for legal help.",2.35838,1,"2017-03-11","Released",90,"Active Entertainment, ","United States of America, "
"10",0,0,"Christmas with the Andersons","Drowning in tinsel and lights every Christmas, Michael and Caroline Anderson throw the year’s biggest party at their house. But this year, with Michael jobless and Caroline’s store struggling, that tradition may end. The Andersons decide to host a very different kind of party and, in the process, rediscover what’s most important about the holiday.",0.07922,1,"2016-12-09","Released",90,"Marvista Entertainment, ION Television, ","United States of America, "
