"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"1",0,0,"Luna Park","A group of renegade space workers venture to the moon to steal an energy source.",0.059746,0,"2020-12-31","Planned",NA,"Skydance Media, Dutch Oven, New Regency Pictures, ","United States of America, "
"2",0,0,"Untitled Spawn Film","NYPD detective Twitch Williams investigates a series of grisly murder scenes, perpetrated by the mysterious supernatural vigilante Spawn.",0.04984,0,"2019-12-31","Planned",NA,"McFarlane Films, Blumhouse Productions, ","United States of America, "
"3",0,0,"The Avenging Silence","A spy thriller taking place in Tokyo.",0.149713,0,"2019-12-31","Planned",NA,", , ","Denmark, "
"4",0,0,"Possessor","A thriller about an agent who works for a secretive organization that uses brain-implant technology to enable its operatives to inhabit other people's bodies, ultimately driving them to carry out assassinations for high-paying clients.",1e-06,0,"2019-12-31","In Production",NA,", , ",", , "
"5",0,0,"O2","A woman wakes up inside a cryogenic chamber with no memory of how she got there and must escape before her air runs out.",0.051335,0,"2019-12-31","Released",NA,", , ",", , "
"6",0,0,"Escape Plan 3: Devil's Station","Plot unknown.",0.708924,0,"2019-12-31","In Production",NA,", , ",", , "
"7",0,0,"Burning Rainbow Farm","A pair of marijuana advocates try to hold their own against the FBI in a brutal five-day standoff.",0.042722,0,"2019-12-31","Planned",NA,", , ",", , "
"8",0,0,"Black Hole","The story sees a black hole enter our solar system, setting off natural disasters on an unprecedented scale. Cities are assaulted by gigantic meteorites, continents are devastated by super-volcanos, and Earth’s shifting axis triggers a cataclysmic second Ice Age. All the while, a team of scientists, soldiers and astronauts must work together to save the planet from imminent annihilation.",0.447166,0,"2019-12-31","Planned",NA,", , ",", , "
"9",0,0,"Crawl","A young woman becomes trapped in a flooding house during a Category 5 hurricane and must battle against Florida's most savage and feared predators.",0.077603,0,"2019-12-31","In Production",NA,"Ghost House Pictures, ","United States of America, "
"10",0,0,"Black Water: The Abyss","Eric and Jennifer, a young, adventure-loving couple convince their friends Yolanda and Viktor to explore a remote, uncharted cave system in the forests of Northern Australia. With a storm approaching, they abseil into the mouth of the cave, which starts to flood and they find themselves threatened by a pack of crocodiles. Long-kept secrets emerge and the friends turn on each other in a fight for survival.",0.006359,0,"2019-12-31","In Production",NA,"Altitude Film Sales, Cornerstone Pictures, ProdigyMovies, ","Australia, United States of America, "
"11",0,0,"A Head Full of Ghosts","A woman whose family was publicly consumed and destroyed by her teenage sister’s mysterious and horrific affliction is approached 20 years later by a journalist to tell the story in her own words. She reveals a far more terrifying version of what really happened in her childhood home.",0.072845,0,"2019-12-31","Planned",NA,", , ",", , "
"12",0,0,"Wolf Creek 3","",4.681295,1,"2019-12-31","Planned",NA,"Screen Australia, Emu Creek Pictures, Screen Queensland, Village Roadshow Pictures, ","Australia, "
"13",0,0,"Ness","Cleveland, 1935. Eliot Ness, fresh from his legendary Chicago triumph over Al Capone and associates, set his sights on Cleveland and went on a crusade that matched, and sometimes even surpassed, his past accomplishments. Dismembered body parts have started washing up in a concentrated area of Lake Erie Sound. Their headless torsos have left no clues to their identity or the reason for death. Elliot Ness and his colorful gang of “The Unknowns” chased this killer through the underbelly of Cleveland for years. As far as the public was concerned he was never captured. But what really happened is even more shocking.",0.272885,0,"2018-12-31","In Production",NA,", , ",", , "
"14",0,0,"Friend of the World","After a catastrophic war, an eccentric general guides a filmmaker through a ravaged bunker.",2.456189,0,"2018-12-31","Post Production",NA,"Rosewood 5, Rosewood 5 Studios, Rosewood Five, ","United States of America, "
