"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",150000000,1023784195,"Zootopia","Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",113.013622,7318,"2016-02-11","Released"
"2",150000000,1274219009,"Frozen","Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",30.367905,7099,"2013-11-27","Released"
"3",165000000,657818612,"Big Hero 6","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",25.652226,7996,"2014-10-24","Released"
"4",45000000,987483777,"The Lion King","A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.",23.343694,7424,"1994-06-23","Released"
"5",25000000,377350553,"Beauty and the Beast","Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",21.481681,4137,"1991-11-13","Released"
"6",260000000,591794936,"Tangled","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",15.023433,4572,"2010-02-03","Released"
"7",90000000,304320254,"Mulan","A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.",11.4368,3108,"1998-06-18","Released"
"8",120000000,186053725,"Atlantis: The Lost Empire","The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea.",12.631703,1731,"2001-06-02","Released"
"9",150000000,309979994,"Bolt","Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",12.909332,2359,"2008-11-21","Released"
"10",105000000,270997378,"The Princess and the Frog","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",12.838408,1786,"2009-12-08","Released"
"11",150000000,314432665,"Chicken Little","When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.",12.725063,1352,"2005-11-04","Released"
"12",150000000,448000000,"Tarzan","Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",10.135862,2463,"1999-06-18","Released"
