"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",149000000,821847012,"Wonder Woman","An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.",116.300154,8778,"2017-05-30","Released"
"2",175000000,573975512,"Ready Player One","When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",47.847846,2039,"2018-03-28","Released"
"3",500000000,657924295,"Justice League","Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",45.318222,4573,"2017-11-15","Released"
"4",20000000,88761661,"John Wick","Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.",39.317628,7526,"2014-10-22","Released"
"5",250000000,956019788,"The Hobbit: The Battle of the Five Armies","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",41.570202,6357,"2014-12-10","Released"
"6",185000000,1004558444,"The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",26.972456,14980,"2008-07-16","Released"
"7",125000000,976475550,"Harry Potter and the Philosopher's Stone","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",34.425064,9713,"2001-11-16","Released"
"8",63000000,463517383,"The Matrix","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",35.455897,11190,"1999-03-30","Released"
"9",150000000,378858340,"Mad Max: Fury Road","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",31.017044,11667,"2015-05-13","Released"
"10",100000000,525573161,"Dunkirk","The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",23.425343,6162,"2017-07-19","Released"
"11",165000000,675120017,"Interstellar","Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.",32.95162,14165,"2014-11-05","Released"
