"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",0,0,"The Sisters Brothers","Based on Patrick DeWitt's novel, The Sisters Brothers revolves around the colourfully named gold prospector Hermann Kermit Warm, who's being pursued across 1000 miles of 1850s Oregon desert to San Francisco by the notorious assassins Eli and Charlie Sisters. Except Eli is having a personal crisis and beginning to doubt the longevity of his chosen career. And Hermann might have a better offer.",2.097008,0,"2019-01-17","In Production"
"2",0,0,"The Confidence-Man","A filthy Con-Man stumbles into an old Balkan village where he tries to win the people by calling himself a doctor.",0.551781,0,"2018-08-01","Post Production"
"3",0,0,"Paradox","A loud Poem. A whimsical western tale of music and love.",1.459627,4,"2018-03-15","Released"
"4",0,0,"Prospect","A teenage girl and her father travel to a remote alien moon, aiming to strike it rich. They've secured a contract to harvest a large deposit of the elusive gems hidden in the depths of the moon's toxic forest. But there are others roving the wilderness and the job quickly devolves into a fight to survive. Not to be confused with the 2014 short film with the same name by the same directors.",0.567646,0,"2018-03-10","Post Production"
"5",0,0,"Black 47","It’s 1847 and Ireland is in the grip of the Great Famine that has ravaged the country for two long years. Feeney, a hardened Irish Ranger who has been fighting for the British Army abroad, abandons his post to return home and reunite with his estranged family.",0.994001,3,"2018-02-16","Released"
"6",0,0,"Damsel","A businessman travels West to join his fiancée in the mountains.",5.491483,3,"2018-06-22","Released"
"7",3000,0,"Fallout: Wasteland Survival Guide","Fallout Fan film",0.449863,1,"2017-12-22","Released"
"8",1000000,105000,"Five Fingers for Marseilles","Twenty years ago, the young 'Five Fingers' fought for the rural town of Marseilles, against brutal police oppression. Now, after fleeing in disgrace, freedom-fighter-turned-'outlaw' Tau returns to Marseilles, seeking only a peaceful pastoral life. When he finds the town under new threat, he must reluctantly fight to free it. can he free himself from his past? Will the Five Fingers stand again?",2.808553,1,"2017-10-06","Released"
"9",0,0,"Sweet Country","It’s 1929 on the vast, desert-like Eastern Arrernte Nation lands that are now known as the Central Australian outback. Sam Kelly, a middle-aged Aboriginal man, works the land of a kind preacher, Fred Smith. After an ill-tempered bully arrives in town and Kelly kills him in self-defense, he and his wife, Lizzie, go on the run as a posse gathers to hunt him down.",4.404576,8,"2018-01-25","Released"
"10",55000000,29815215,"Hostiles","A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana reservation.",23.218155,459,"2017-12-22","Released"
"11",200,0,"Miro","When Miro returns home at the end of World War II he finds his land taken, his people gone, his daughter stolen and his service record treated with contempt. But the battlefield has taught him how to fight and he sets out to reunite his family waging his own form of justice.",0.07506,0,"2017-08-13","Released"
"12",0,0,"Zerzura","",0.071384,0,"2017-07-19","Released"
"13",0,0,"Mohawk","A young Mohawk woman and her two lovers battle a squad of American soldiers hell-bent on revenge.",5.616456,13,"2018-03-02","Released"
"14",10500000,27397655,"The Beguiled","During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events.",8.052399,780,"2017-06-23","Released"
"15",0,0,"The Rider","Once a rising star of the rodeo circuit, and a gifted horse trainer, young cowboy Brady is warned that his riding days are over, after a horse crushed his skull at a rodeo. Back home on the Pine Ridge Reservation, with little desire or alternatives for a different way of life, Brady’s sense of inadequacy mounts as he is unable to ride or rodeo – the essentials of being a cowboy. In an attempt to regain control of his own fate, Brady undertakes a search for new identity and what it means to be a man in the heartland of America.",4.225252,18,"2018-03-28","Released"
"16",0,0,"Tombstone-Rashomon","The Gunfight at the OK Corral only happened once, but has been tirelessly recreated in films, television shows and western towns ever since. No one has a monopoly on truth, and in Tombstone Rashomon, the truth is shared by six conflicting, yet historical perspectives. In doing so, the film’s narrative becomes prismatic and the result is perhaps the most comprehensive telling of the most important gunfight in American history. This is the Tombstone story told in the style of the Japanese classic Rashomon where we see history from several perspectives including that of Wyatt Earp, Doc Holliday, Kate, Ike Clanton, Colonel Hafford and Johnny Behan.",0.195304,0,"2017-04-08","Released"
"17",0,0,"Dannie O.","",0.048786,0,"2017-04-07","Released"
"18",0,0,"The Scent of Rain & Lightning","When a young woman learns her parents' killer has been released from jail, she is forced to revisit old wounds while discovering the destructive power of hate and the true cost of family secrets fully revealing themselves.",5.3521,12,"2018-02-16","Released"
"19",0,0,"The Ballad of Lefty Brown","Aging sidekick Lefty Brown has ridden with Eddie Johnson his entire life. But when a rustler kills Eddie, Lefty is forced from his partner’s shadow and must confront the ugly realities of frontier justice.",6.915836,28,"2017-12-15","Released"
"20",0,0,"The Bulleteers","When a quirky but deadly outlaw returns to town, it's up to a masked hero to gather a group of misfits to save the townspeople from the wrath of Todd.",0.047667,0,"2017-03-04","Released"
"21",0,0,"Dead West","The Sherrif of a small Western town witnesses a sickness quickly overtaking the locals. Along with his trusty Deputy Carl and plucky sidekick Annie they try to save the town.",0.193264,2,"2017-01-31","Released"
"22",0,0,"The Legend of Ben Hall","Ben Hall is drawn back into bushranging by the reappearance of his old friend John Gilbert. Reforming the gang, they soon become the most wanted men in Australian history.",1.747257,16,"2016-12-01","Released"
"23",0,0,"Gold Mountain","It's 1849 and everyone wants to make his way to San Francisco for that golden opportunity. Jorge, a poor Mexican peasant, and his son Fernando believe they have struck it rich when they find an enormous gold rock. Upon entering the nearest town to cash in, they quickly become entangled with a dangerous outlaw who has eyes on their fortune. After the rock and child go missing, Jorge teams up with a conniving Chinese immigrant to find his son and get back what is his, but not before running into a surplus of outrageous characters including an unsavory hunting party...or killing each other first in this wacky adventure!",0.032537,0,"2016-09-09","Released"
