"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",300000000,1820052471,"Avengers: Infinity War","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",406.526722,4021,"2018-04-25","Released"
"2",180000000,853977126,"Thor: Ragnarok","Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the prophecy of destruction to his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",202.557592,6409,"2017-10-25","Released"
"3",250000000,956019788,"The Hobbit: The Battle of the Five Armies","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",37.605181,6355,"2014-12-10","Released"
"4",166000000,677718395,"Doctor Strange","After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under his wing and trains him to defend the world against evil.",29.885187,8564,"2016-10-25","Released"
"5",0,0,"Untitled Avengers Movie","The turning point of the beloved heroes' epic journey, as they come to truly understand how fragile their reality is and the sacrifices that must be made to uphold it.",25.54824,9,"2019-04-24","In Production"
"6",14000000,233555708,"The Imitation Game","Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",24.637603,7778,"2014-11-14","Released"
"7",250000000,1021103568,"The Hobbit: An Unexpected Journey","Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",22.67907,10004,"2012-11-26","Released"
"8",132000000,373552094,"Penguins of Madagascar","Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",21.074372,1709,"2014-11-22","Released"
"9",190000000,467365246,"Star Trek Into Darkness","When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",19.220048,5201,"2013-05-05","Released"
"10",20000000,187000000,"12 Years a Slave","In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",17.945071,4932,"2013-10-18","Released"
"11",250000000,958400000,"The Hobbit: The Desolation of Smaug","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",16.424312,5917,"2013-12-11","Released"
"12",53000000,98837872,"Black Mass","The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",12.379347,1622,"2015-09-04","Released"
"13",30000000,80630608,"Tinker Tailor Soldier Spy","In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet mole within his former colleagues at the heart of MI6.",11.044041,1115,"2011-09-16","Released"
"14",30000000,129266061,"Atonement","As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",10.978922,1479,"2007-08-29","Released"
"15",50000000,55969000,"Zoolander 2","Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.",10.659173,1072,"2016-02-06","Released"
"16",28000000,8555008,"The Fifth Estate","A look at the relationship between WikiLeaks founder Julian Assange and his early supporter and eventual colleague Daniel Domscheit-Berg, and how the website's growth and influence led to an irreparable rift between the two friends.",9.721866,452,"2013-10-11","Released"
"17",66000000,177584879,"War Horse","Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend.",8.934069,1336,"2011-12-25","Released"
"18",0,0,"Sherlock: The Abominable Bride","Sherlock Holmes and Dr. Watson find themselves in 1890s London in this holiday special.",8.933108,1066,"2016-01-01","Released"
"19",35000000,78269970,"The Other Boleyn Girl","A sumptuous and sensual tale of intrigue, romance and betrayal set against the backdrop of a defining moment in European history: two beautiful sisters, Anne and Mary Boleyn, driven by their family's blind ambition, compete for the love of the handsome and passionate King Henry VIII.",8.641894,693,"2008-02-28","Released"
"20",25000000,74188937,"August: Osage County","A look at the lives of the strong-willed women of the Weston family, whose paths have diverged until a family crisis brings them back to the Midwest house they grew up in, and to the dysfunctional woman who raised them.",8.606015,657,"2013-12-26","Released"
