"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",160000000,1263521126,"Beauty and the Beast","A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.",89.899378,8297,"2017-03-16","Released"
"2",125000000,976475550,"Harry Potter and the Philosopher's Stone","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",35.713509,9709,"2001-11-16","Released"
"3",100000000,876688482,"Harry Potter and the Chamber of Secrets","Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",27.283049,8180,"2002-11-13","Released"
"4",125000000,1342000000,"Harry Potter and the Deathly Hallows: Part 2","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",24.496688,8294,"2011-07-07","Released"
"5",250000000,933959197,"Harry Potter and the Half-Blood Prince","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",21.801355,7407,"2009-07-07","Released"
"6",250000000,954305868,"Harry Potter and the Deathly Hallows: Part 1","Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",19.400905,7661,"2010-10-17","Released"
"7",130000000,789804554,"Harry Potter and the Prisoner of Azkaban","Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black – and turns to sympathetic Professor Lupin for help.",18.612954,8148,"2004-05-31","Released"
"8",150000000,895921036,"Harry Potter and the Goblet of Fire","Harry starts his fourth year at Hogwarts, competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for.",18.474416,7818,"2005-11-16","Released"
"9",150000000,938212738,"Harry Potter and the Order of the Phoenix","Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts.",17.110545,7673,"2007-06-28","Released"
"10",18000000,20497844,"The Circle","A young tech worker takes a job at a powerful Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will determine the future of humanity.",13.626791,1791,"2017-04-27","Released"
"11",0,0,"Ballet Shoes","An unusual explorer named Gum and his kindly niece adopt three orphans -- Pauline, Petrova and Posy -- and raise them as sisters in 1930s London. But the girls must fend for themselves when Gum doesn't return from one of his adventures. Together, they nurture their passions for acting, aviation and ballet in this charming TV adaptation of Noel Streatfield's novel.",12.740735,130,"2008-08-26","Released"
"12",125000000,362637473,"Noah","A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.",12.701979,3070,"2014-03-20","Released"
"13",32000000,126041322,"This Is the End","While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.",11.326989,2939,"2013-06-12","Released"
"14",13000000,33400000,"The Perks of Being a Wallflower","A coming-of-age story based on the best-selling novel by Stephen Chbosky, which follows 15-year-old freshman Charlie, an endearing and naive outsider who is taken under the wings of two seniors. A moving tale of love, loss, fear and hope - and the unforgettable friends that help us through life.",10.294336,4163,"2012-09-20","Released"
"15",60000000,86900000,"The Tale of Despereaux","Once upon a time... in the far away kingdom of Dor... lived a brave and virtuous mouse with comically oversized ears who dreamt of becoming a knight. Banished from his home for having such lofty ambitions, Despereaux sets off on an amazing adventure with his good-hearted rat friend Roscuro, who leads him, at long last, on a very noble quest to rescue an endangered princess and save an entire kingdom from darkness.",9.310309,343,"2008-12-19","Released"
"16",6400000,35057696,"My Week with Marilyn","Sir Laurence Olivier is making a movie in London. Young Colin Clark, an eager film student, wants to be involved and he navigates himself a job on the set. When film star Marilyn Monroe arrives for the start of shooting, all of London is excited to see the blonde bombshell, while Olivier is struggling to meet her many demands and acting ineptness, and Colin is intrigued by her. Colin's intrigue is met when Marilyn invites him into her inner world where she struggles with her fame, her beauty and her desire to be a great actress.",9.23499,562,"2011-11-23","Released"
"17",14000000,3621046,"Colonia","A young woman's desperate search for her abducted boyfriend that draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.",8.198222,798,"2015-09-13","Released"
"18",0,17671101,"Regression","Minnesota, 1990. Detective Bruce Kenner investigates the case of young Angela, who accuses her father, John Gray, of an unspeakable crime. When John unexpectedly and without recollection admits guilt, renowned psychologist Dr. Raines is brought in to help him relive his memories and what they discover unmasks a horrifying nationwide mystery.",6.785264,797,"2015-10-01","Released"
"19",15000000,19145732,"The Bling Ring","Inspired by actual events, a group of fame-obsessed teenagers use the Internet to track celebrities' whereabouts in order to rob their homes.",6.779365,1597,"2013-06-12","Released"
"20",0,0,"Creating The World of Harry Potter, Part 1: The Magic Begins","The magic begins. The choices, the breakthroughs, the early decisions that impacted all the films are explored here via rare footage, cast and crew reminiscences and more. Learn about the extensive search by producer David Heyman and director Chris Columbus for the perfect actors to portray Harry, Ron and Hermione and see the earliest meeting of Daniel Radcliffe, Rupert Grint and Emma Watson.  Be on the scene as imagination and know-how combine to create a look that's distinctly wizardly. From details tiny (what about Hermione's buckteeth?) to huge (Quidditch, anyone?), this is the fun and fascinating opening of a whole new portal into Harry's world. Begin the magic.",1.467912,14,"2009-11-17","Released"
