"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",149000000,821847012,"Wonder Woman","An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.",104.750982,8767,"2017-05-30","Released"
"2",500000000,657924295,"Justice League","Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",45.318222,4568,"2017-11-15","Released"
"3",250000000,873260194,"Batman v Superman: Dawn of Justice","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",27.166806,9419,"2016-03-23","Released"
"4",190000000,1506249360,"Furious 7","Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.",20.691216,5235,"2015-04-01","Released"
"5",31500000,14708696,"Criminal","Bill Pope is a CIA agent on a mission in London tracking down a shadowy hacker nicknamed ""The Dutchman."" When he gets mysteriously ambushed and killed, an experimental procedure is used to transfer his memories into dangerous ex-convict Jericho Stewart. When he wakes up with the CIA agent's memories, his mission is to find The Dutchman and eliminate him before the hacker launches ICBM's and starts World War III. But complications soon arise and the mission turns personal.",11.759073,728,"2016-04-14","Released"
"6",20000000,12639297,"Triple 9","A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.",11.215031,1048,"2016-02-19","Released"
"7",55000000,152263880,"Date Night","Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves – and now a number of unsavoury characters want Phil and Claire killed.",10.424097,1389,"2010-04-08","Released"
"8",117000000,261930431,"Knight and Day","A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",9.547432,1987,"2010-06-15","Released"
"9",40000000,29918745,"Keeping Up with the Joneses","An ordinary suburban couple finds it’s not easy keeping up with the Joneses – their impossibly gorgeous and ultra-sophisticated new neighbors – especially when they discover that Mr. and Mrs. “Jones” are covert operatives.",8.185189,853,"2016-10-20","Released"
"10",0,0,"Justice League 2","A sequel to Justice League (2017).",3.872499,16,"","Planned"
"11",0,0,"DC Films Presents Dawn of the Justice League","A documentary special taking a look at the upcoming films making up the DC Universe. Kevin Smith hosts with Geoff Johns, as they take a look at Batman vs Superman: Dawn of Justice, Suicide Squad, the upcoming Wonder Woman and Justice League movies.",3.43546,34,"2016-01-19","Released"
"12",0,0,"Kicking Out Shoshana","In the conservative city of Jerusalem, Ami Shoshan, an Israeli football player, is forced by a mafia boss to pose as a homosexual, a punishment for flirting with the criminal's girlfriend. Shoshan is banned by players and fans of his team, but becomes a hero of the gay community.",2.684856,4,"2014-07-17","Released"
"13",0,0,"Wonder Woman 2","Plot unknown.",2.348788,2,"2019-11-01","In Production"
"14",160000000,788679850,"Fast & Furious 6","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",1.775785,5995,"2013-05-21","Released"
"15",85000000,363164265,"Fast & Furious","When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel.",1.426655,2989,"2009-04-02","Released"
"16",125000000,626137675,"Fast Five","Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.",1.410402,3176,"2011-04-20","Released"
"17",0,0,"My Dearest Fidel","The Story of how ABC journalist Lisa Howard become one of Cuba leader Fidel Castro’s leading American confidants. (Deadline)",0.35,1,"","Released"
"18",0,0,"Deeper","A former astronaut is hired to take a submersible to the lowest point in the ocean. As the submersible gets closer to its destination, supernatural events transpire.",0.165541,2,"","In Production"
