"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",140000000,655011224,"Pirates of the Caribbean: The Curse of the Black Pearl","Jack Sparrow, a freewheeling 17th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",44.609483,9343,"2003-07-09","Released"
"2",230000000,794191988,"Pirates of the Caribbean: Dead Men Tell No Tales","Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.",39.749027,4808,"2017-05-23","Released"
"3",200000000,1065659812,"Pirates of the Caribbean: Dead Man's Chest","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",31.975219,7054,"2006-06-20","Released"
"4",300000000,961000000,"Pirates of the Caribbean: At World's End","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",29.273961,6226,"2007-05-19","Released"
"5",14000000,233555708,"The Imitation Game","Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",24.637603,7778,"2014-11-14","Released"
"6",115000000,924317558,"Star Wars: Episode I - The Phantom Menace","Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",23.383199,6111,"1999-05-19","Released"
"7",55000000,203427584,"Everest","Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",11.808345,2292,"2015-09-10","Released"
"8",60000000,135511030,"Jack Ryan: Shadow Recruit","Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",11.279951,1419,"2014-01-15","Released"
"9",30000000,129266061,"Atonement","As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",10.978922,1479,"2007-08-29","Released"
"10",40000000,244931766,"Love Actually","Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.",10.633065,2585,"2003-09-07","Released"
"11",120000000,203567857,"King Arthur","The story of the Arthurian legend, based on the 'Sarmatian hypothesis' which contends that the legend has a historical nucleus in the Sarmatian heavy cavalry troops stationed in Britain, and that the Roman-British military commander, Lucius Artorius Castus is the historical person behind the legend.",10.151636,1125,"2004-07-07","Released"
"12",3500159,76578641,"Bend It Like Beckham","Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.",9.559804,791,"2002-04-11","Released"
"13",4000000,0,"Red Nose Day Actually","Fourteen years after the events of the first film, a series of encounters between people in Britain reminds us that in these different times Love, actually exists.",9.336107,74,"2017-03-24","Released"
"14",36000000,87416021,"Collateral Beauty","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",9.279567,2281,"2016-12-06","Released"
"15",8000000,63464861,"Begin Again","A long lost music producer finds a singer-songwriter right about the moment he has given up all hope on life.",9.188908,1620,"2013-09-07","Released"
"16",28000000,121147947,"Pride & Prejudice","Pride & Prejudice is a humorous story of love and life among English gentility during the Georgian era. Mr. Bennet is an English gentleman living in Hertfordshire with his overbearing wife and five daughters. If Mr. Bennet dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",8.878744,2017,"2005-09-16","Released"
"17",50000000,22944502,"Domino","The daughter of actor, Laurence Harvey turns away from her career as a Ford model to become a bounty hunter.",8.823071,564,"2005-09-22","Released"
"18",15000000,9455232,"Never Let Me Go","As children, Kathy, Ruth, and Tommy spend their childhood at an idyllic and secluded English boarding school. As they grow into adults, they must come to terms with the complexity and strength of their love for one another while also preparing for the haunting reality awaiting them.",8.494606,994,"2010-09-15","Released"
"19",0,1066981,"Laggies","Overeducated and underemployed, 28 year old Megan is in the throes of a quarterlife crisis. Squarely into adulthood with no career prospects, no particular motivation to think about her future and no one to relate to, Megan is comfortable lagging a few steps behind - while her friends check off milestones and celebrate their new grown-up status. When her high-school sweetheart proposes, Megan panics and- given an unexpected opportunity to escape for a week - hides out in the home of her new friend, 16-year old Annika and Annika's world-weary single dad Craig.",8.275642,554,"2014-09-25","Released"
"20",10000000,9636289,"Seeking a Friend for the End of the World","As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.",8.035827,886,"2012-06-22","Released"
