"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",160000000,825532764,"Inception","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",31.536559,17408,"2010-07-14","Released"
"2",100000000,425368238,"Django Unchained","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",24.532853,12552,"2012-12-25","Released"
"3",200000000,1845034188,"Titanic","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",21.219991,10310,"1997-11-18","Released"
"4",100000000,392000694,"The Wolf of Wall Street","A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",18.120954,9025,"2013-12-25","Released"
"5",135000000,532950503,"The Revenant","In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",17.556823,8403,"2015-12-25","Released"
"6",90000000,289847354,"The Departed","To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",13.99969,5802,"2006-10-05","Released"
"7",80000000,294804195,"Shutter Island","World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",13.53829,9016,"2010-02-18","Released"
"8",105000000,351040419,"The Great Gatsby","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",12.329188,5281,"2013-05-10","Released"
"9",116000000,102000000,"The Aviator","A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",12.108331,2016,"2004-12-17","Released"
"10",14500000,147298761,"Romeo + Juliet","In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.",12.103796,1892,"1996-11-01","Released"
"11",70000000,113280098,"Body of Lies","The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.",11.64439,1170,"2008-10-10","Released"
"12",52000000,352114312,"Catch Me If You Can","A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",11.625303,5218,"2002-12-25","Released"
"13",100000000,193772504,"Gangs of New York","It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",11.260769,2609,"2002-12-14","Released"
"14",108000000,22678555,"Live by Night","A story set in the Prohibition Era and centered around a group of individuals and their dealings in the world of organized crime.",10.580184,574,"2016-12-25","Released"
"15",100000000,170877916,"Blood Diamond","An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",10.442171,3015,"2006-12-07","Released"
"16",11000000,10032765,"What's Eating Gilbert Grape","Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life.",10.207691,1281,"1993-12-17","Released"
"17",0,0,"Poison Ivy","A seductive teen befriends an introverted high school student and schemes her way into the lives of her wealthy family.",10.024609,116,"1992-05-08","Released"
"18",20000000,41596251,"Orphan","A married couple with a rocky past adopt 9-year old, Esther to fill the void created by a recently-stillborn baby. However, Esther is not quite who she seems.",9.656646,1802,"2009-07-24","Released"
"19",40000000,144056873,"The Beach","Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",9.376904,1731,"2000-02-11","Released"
"20",12500000,75993061,"The Ides of March","Dirty tricks stand to soil an ambitious young press spokesman's idealism in a cutthroat presidential campaign where 'victory' is relative.",9.054078,1161,"2011-09-24","Released"
