"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",40000000,41782301,"Annihilation","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",59.103615,1896,"2018-02-22","Released"
"2",150000000,449326618,"Thor","Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",58.58079,9086,"2011-04-21","Released"
"3",170000000,644571402,"Thor: The Dark World","Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",48.656112,6984,"2013-10-29","Released"
"4",115000000,924317558,"Star Wars: Episode I - The Phantom Menace","Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",23.383199,6111,"1999-05-19","Released"
"5",16000000,45284974,"Leon: The Professional","Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",21.013026,5651,"1994-09-14","Released"
"6",113000000,850000000,"Star Wars: Episode III - Revenge of the Sith","Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice – Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring – the twin children born in secrecy who will grow up to become heroes.",14.936623,5720,"2005-05-17","Released"
"7",120000000,649398328,"Star Wars: Episode II - Attack of the Clones","Ten years after the invasion of Naboo, the galaxy is on the brink of civil war. Under the leadership of a renegade Jedi named Count Dooku, thousands of solar systems threaten to break away from the Galactic Republic. When an assassination attempt is made on Senator Padmé Amidala, the former Queen of Naboo, twenty-year-old Jedi apprentice Anakin Skywalker is assigned to protect her. In the course of his mission, Anakin discovers his love for Padmé as well as his own darker side. Soon, Anakin, Padmé, and Obi-Wan Kenobi are drawn into the heart of the Separatist movement and the beginning of the Clone Wars.",13.862517,5530,"2002-05-15","Released"
"8",54000000,132511035,"V for Vendetta","In a world in which Great Britain has become a fascist state, a masked vigilante known only as 'V' conducts guerrilla warfare against the oppressive British government. When 'V' rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",13.291987,5963,"2006-03-15","Released"
"9",13000000,327803731,"Black Swan","A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.",12.242129,6233,"2010-12-03","Released"
"10",60000000,187436818,"Heat","Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",12.023913,2413,"1995-12-15","Released"
"11",27000000,115505027,"Closer","A witty, romantic, and very dangerous love story about chance meetings, instant attractions, and casual betrayals. Two couples disintegrate when they begin destructive adulterous affairs with each other.",11.350031,1181,"2004-12-01","Released"
"12",26000000,43318349,"Brothers","When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy  steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",10.662426,885,"2009-01-27","Released"
"13",25000000,147780440,"No Strings Attached","Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",10.406251,1850,"2011-01-21","Released"
"14",49900000,26121638,"Your Highness","A fantasy movie about an arrogant, lazy prince and his more heroic brother who must complete a quest in order to save their father's kingdom.",10.201808,615,"2011-04-08","Released"
"15",13000000,4857367,"Paris, je t'aime","Olivier Assayas, Gus Van Sant, Wes Craven and Alfonso Cuaron are among the 20 distinguished directors who contribute to this collection of 18 stories, each exploring a different aspect of Parisian life. The colourful characters in this drama include a pair of mimes, a husband trying to chose between his wife and his lover, and a married man who turns to a prostitute for advice.",10.135113,281,"2006-05-16","Released"
"16",28000000,60780981,"Zoolander","Clear the runway for Derek Zoolander, VH1's three-time male model of the year. His face falls when hippie-chic ""he's so hot right now"" Hansel scooters in to steal this year's award. The evil fashion guru Mugatu seizes the opportunity to turn Derek into a killing machine. Its a well-designed conspiracy and only with the help of Hansel and a few well-chosen accessories can Derek make the world safe.",9.294051,1794,"2001-09-28","Released"
"17",70000000,101371017,"Mars Attacks!","'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",9.116658,2102,"1996-12-12","Released"
"18",0,69474661,"Mr. Magorium's Wonder Emporium","Molly Mahoney is the awkward and insecure manager of Mr. Magorium's Wonder Emporium, the strangest, most fantastic, most wonderful toy store in the world. But when Mr. Magorium bequeaths the store to her, a dark and ominous change begins to take over the once remarkable Emporium.",9.023403,486,"2007-11-14","Released"
"19",10000000,443684,"Song to Song","In this modern love story set against the Austin, Texas music scene, two entangled couples — struggling songwriters Faye and BV, and music mogul Cook and the waitress whom he ensnares — chase success through a rock ‘n’ roll landscape of seduction and betrayal.",8.940973,330,"2017-03-17","Released"
"20",28000000,16374328,"Pride and Prejudice and Zombies","A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",8.912897,868,"2016-02-04","Released"
